,name,cafe_type
0,와아,와인
1,침묵을깨다,와인
2,차일디쉬,"카페,디저트"
3,자연도소금빵in 성수,베이커리
4,한정선,"카페,디저트"
5,치즈인더스트리 성수,"카페,디저트"
6,츄로101 성수점,카페
7,모리노키세츠,"카페,디저트"
8,하이라인,"카페,디저트"
9,오우드 성수1호점,"카페,디저트"
10,베통 성수,"카페,디저트"
11,파머스카페,"카페,디저트"
12,브레디포스트 성수,"카페,디저트"
13,웜브라운,"카페,디저트"
14,니커버커베이글 성수지점,베이커리
15,본지르르 성수,"카페,디저트"
16,마를리,케이크전문
17,아쿠아산타 성수카페,"카페,디저트"
18,서울앵무새,"카페,디저트"
19,크림라벨 서울숲 본점,케이크전문
20,쎈느Scene,"카페,디저트"
21,카페 할아버지공장,"카페,디저트"
24,스트로베리32 성수점,베이커리
25,퍼먼트,베이커리
26,성수 베이킹 스튜디오,베이커리
27,어니언 성수,"카페,디저트"
28,밀도 성수점,밀도
29,LOOOP 루프 베이커리 카페,카페
30,피넛버터바나나,"카페,디저트"
31,비아트 성수,"카페,디저트"
32,체다앤올리,"카페,디저트"
33,실버리,"카페,디저트"
34,묘사서울,카페
35,라프레플루트,"카페,디저트"
36,누데이크 성수,"카페,디저트"
37,LOWIDE 서울숲,"카페,디저트"
38,맥파이앤타이거 성수티룸,"카페,디저트"
39,브라우터,카페
40,코끼리베이글 성수,베이커리
41,러프러프,"카페,디저트"
42,레인리포트 크루아상,"카페,디저트"
43,뵈르뵈르,아이스크림
44,구욱희씨 서울숲 본점,"카페,디저트"
45,블루보틀 성수 카페,블루보틀
46,커피냅로스터스 성수,"카페,디저트"
47,봉땅 서울숲점,베이커리
49,5to7,"카페,디저트"
50,플디 성수점,"카페,디저트"
51,꼬모윤 서울숲점,"카페,디저트"
52,텅 성수 스페이스,"카페,디저트"
53,뉴앳던 성수,"카페,디저트"
54,에이투비 Cafe&Bar,"카페,디저트"
55,발렁스,"카페,디저트"
56,치카성수,케이크전문
57,디플랫 성수,"카페,디저트"
58,목로정원,"카페,디저트"
59,테디스오븐,"카페,디저트"
60,프롤라,"카페,디저트"
61,페로몬,"카페,디저트"
62,마일스톤 커피 성수점,"카페,디저트"
63,얼스케이크베이크샵,베이커리
64,투데이즈 위켄드,"카페,디저트"
65,테니,베이커리
66,씨장,베이커리
67,오우드 성수2호점,"카페,디저트"
68,옹근달,"카페,디저트"
69,타임애프터타임,"카페,디저트"
70,하프커피 성수,카페
71,센터커피 서울숲점,카페
72,카멜커피 성수점,"카페,디저트"
73,어라운드데이,"카페,디저트"
74,스타벅스 성수점,카페
75,오우도,"카페,디저트"
76,에르제 성수,베이커리
77,까치화방 성수낙낙점,테마카페
78,오로라베이커리카페 성수점,베이커리
79,업사이드커피,"카페,디저트"
80,브루잉 세레모니,"카페,디저트"
81,바이닐 성수,테마카페
82,뺑드에코,베이커리
83,퍼프아웃,"카페,디저트"
84,소프트바,아이스크림
85,더반 베를린 성수점,"카페,디저트"
86,바이러닉 에스프레소바,"카페,디저트"
87,아우프글렛 성수,"카페,디저트"
88,무브모브 성수,"카페,디저트"
89,레이더,"카페,디저트"
90,포지티브 서울숲,"카페,디저트"
91,성수동대림창고갤러리,"카페,디저트"
92,단일서울,"카페,디저트"
93,베티버 성수,"카페,디저트"
94,삼옥,"카페,디저트"
95,감도 성수점,"카페,디저트"
96,플럼프,"카페,디저트"
97,천상가옥,"카페,디저트"
98,코에오 COEO,"카페,디저트"
99,유스트레스,"카페,디저트"
100,포어플랜,"카페,디저트"
101,슈퍼말차 성수,카페
102,그린랩,"카페,디저트"
103,오푸,"카페,디저트"
104,로우커피스탠드,카페
105,Y704,"카페,디저트"
106,카페&펍 연무장,"카페,디저트"
107,쿠키샾,베이커리
108,클레멘타인,플라워카페
109,사이드템포,"카페,디저트"
110,파티세리후르츠,"카페,디저트"
111,KANTO 성수,카페
112,본노엘 성수점,베이커리
113,키베이커리,베이커리
114,비도커피,"카페,디저트"
115,노아베이커리 성수,베이커리
116,올댓커피 포레스트점,"카페,디저트"
117,카멜커피 7호점,"카페,디저트"
118,뵈르에코,브런치카페
119,도렐 성수점,카페
120,위스위츠 서울숲,"카페,디저트"
121,젠젠 성수점,"카페,디저트"
122,맛차차,"카페,디저트"
123,봇봇봇,"카페,디저트"
124,카페온화 성수점,카페
125,버니타운,"카페,디저트"
126,구테로이테 성수센트럴키친,"카페,디저트"
127,웨스턴챕터,"카페,디저트"
128,이월로스터스 성수점,"카페,디저트"
129,높은산,"카페,디저트"
130,마크69,"카페,디저트"
131,예빈당,"카페,디저트"
132,FINZ,케이크전문
133,어피스앤드피스,"카페,디저트"
134,에빠,"카페,디저트"
135,글로우,카페
136,컴포트라피,브런치카페
137,보마켓 서울숲점,"카페,디저트"
138,성수지앵협동조합,"카페,디저트"
139,BNHR,"카페,디저트"
140,포레스트,베이커리
141,에펜즈,베이커리
142,로우키,카페
143,이트앤드링크,"카페,디저트"
144,기미사 성수,카페
145,올드타운,카페
146,카페 차 성수점,"카페,디저트"
147,에이치커피로스터스,카페
148,코트사이드,"카페,디저트"
149,포동푸딩,"카페,디저트"
150,제1의맛집,베이커리
151,훔볼트,카페
152,미디엄스톤 성수점,"카페,디저트"
153,아후 Ahoo,"카페,디저트"
154,컴오프,"카페,디저트"
155,맥코이 성수,"카페,디저트"
156,구펠,"카페,디저트"
157,메쉬커피,테이크아웃커피
158,아가젤라또 성수,아이스크림
159,올더어글리쿠키&사부아페어,"카페,디저트"
160,르셀,베이커리
161,어커,"카페,디저트"
162,TEESSERT,"카페,디저트"
163,시나본 서울숲점,카페
164,모리티아,카페
165,villa.1990,"카페,디저트"
166,아방베이커리 서울숲점,베이커리
167,모센즈스위트 성수점,"카페,디저트"
168,밀카페 우프,"카페,디저트"
169,청키드 성수점,베이커리
170,라에비뉴,"카페,디저트"
171,시즈니,"카페,디저트"
172,어퍼룸,"카페,디저트"
173,티룸,"카페,디저트"
174,앵무새루이스,"카페,디저트"
175,단과자,"카페,디저트"
176,동빙고 성수점,빙수
177,웨이크앤베이크 성수,"카페,디저트"
178,쏘쏘한 베이킹,"카페,디저트"
179,굴림,"카페,디저트"
180,업사이드커피 뚝섬점,"카페,디저트"
181,까사다루아,"카페,디저트"
182,코타티 성수점,"카페,디저트"
183,Pauline CoffeeBar,"카페,디저트"
184,당도,아이스크림
185,보난자 베이커리,베이커리
186,스타벅스 성수역점,카페
187,하루앤원데이,"카페,디저트"
188,오색칠,"카페,디저트"
189,309디저트카페,"카페,디저트"
190,아쿠아산타 서울숲카페,"카페,디저트"
191,비통레브 르알레스카,베이커리
192,엘레멘츠,"카페,디저트"
193,에이테이블 성수점,베이커리
194,코스모스상점,"카페,디저트"
195,201호,브런치
196,37.5 시그니처 성수,브런치
197,카페요아정,"카페,디저트"
198,서울바나나,"카페,디저트"
199,소소하게,케이크전문
200,강별 성수,브런치
