,name,cafe_type
0,홍철책빵,베이커리
1,더로열푸드앤드링크,"카페,디저트"
2,어반클리프,브런치카페
3,콤포타블 남산,"카페,디저트"
4,TAFFIN,베이커리
5,소월길 밀영,"카페,디저트"
6,패스로스터스,"카페,디저트"
7,엘카페커피로스터스,"카페,디저트"
8,마모에,"카페,디저트"
9,카페후암동,"카페,디저트"
10,무니,"카페,디저트"
11,오르소에스프레소바,카페
12,노리밋커피바,카페
13,티룸 로제티,홍차전문점
14,사운드독,라이브카페
15,커피앤시가렛 BCity점,"카페,디저트"
16,플러피클라우드,"카페,디저트"
17,카페 오비오,"카페,디저트"
18,진소아,"카페,디저트"
19,스마비,"카페,디저트"
20,시엠프레꼬모도밍고,"카페,디저트"
21,모듈러커피바,"카페,디저트"
22,써니브레드,"카페,디저트"
23,반율,"카페,디저트"
24,행복이가득한집,"카페,디저트"
25,후암연립,"카페,디저트"
26,카페 포틀로,"카페,디저트"
27,도깨비코티지,브런치
28,샵도노커피,카페
29,모놀로그하우스,"카페,디저트"
30,오이스터,"카페,디저트"
31,코피가야 카페,"카페,디저트"
32,해방촌아름이,"카페,디저트"
33,커피팩토리,"카페,디저트"
34,카페 라쿠나,"카페,디저트"
35,곰발커피 후암동점,"카페,디저트"
36,마우카,"카페,디저트"
37,REDLEAF coffeefactory,"카페,디저트"
38,소월길그집,"카페,디저트"
39,포뮬라,"카페,디저트"
40,카페나리노,"카페,디저트"
41,노리밋 커피룸,카페
42,미니멀커피,"카페,디저트"
43,쓰리오벌스토어,"카페,디저트"
44,배스킨라빈스 용산후암점,아이스크림
45,젠트레이디,카페
46,김가네탕후루 후암점,"카페,디저트"
47,글라시그린,"카페,디저트"
48,크리스앤벨라 후암점,"카페,디저트"
49,404,"카페,디저트"
50,커피를 사랑한 소믈리애,"카페,디저트"
51,컵앤볼,카페
52,원스쿠키즈,"카페,디저트"
53,카페드누시,브런치
54,파리바게뜨 용산후암점,베이커리
55,매머드익스프레스 후암시장점,카페
56,카페길,"카페,디저트"
57,마쁘띠뜨,베이커리
58,소하 갤러리 카페,갤러리카페
59,카페 트레비아,"카페,디저트"
60,진진키친,"카페,디저트"
61,달보드레구쁘레,"카페,디저트"
62,Fantail,"카페,디저트"
63,데 라떼,"카페,디저트"
64,스마일명품찹쌀꽈배기,스마일명품찹쌀꽈배기
65,메가커피 용산후암점,카페
66,바리스타 엘리,테이크아웃커피
67,파리바게뜨 후암신흥점,베이커리
68,휴스페이스 클라우드카페,"카페,디저트"
69,컴포즈커피 후암시장점,카페
70,바리스타차현수후암점,카페
71,빵이가득한집,베이커리
72,도비네커피,"카페,디저트"
73,도란도란,카페
74,오를라,"카페,디저트"
75,제일다방,다방
76,주고쥬스,"과일,주스전문점"
77,갓블레스유,"카페,디저트"
78,저스트주스 클렌즈,"과일,주스전문점"
79,끼데께데,북카페
80,필리샌드위치&치오파,"카페,디저트"
81,산커피숍,"카페,디저트"
82,콘티뉴이티,카페
83,더 스팟 패뷸러스,"카페,디저트"
84,몰또 이탈리안 에스프레소바,"카페,디저트"
85,터틀힙 롯데백화점 본점,케이크전문
86,덕수궁 리에제와플,와플
87,용산애빵,베이커리
88,맷차,"카페,디저트"
89,더베이커스테이블,베이커리
90,인디에어,"카페,디저트"
91,어반플랜트 명동,"카페,디저트"
92,에그쉘 용산본점,"카페,디저트"
93,데이블러,"카페,디저트"
94,카페타자기,"카페,디저트"
95,커피앤시가렛,카페
96,남영역 잉어빵,베이커리
97,르빵 명동성당점,베이커리
98,가배도 시청점,카페
99,크림시크,"카페,디저트"
100,가배도 명동,카페
101,섹터 커피 바,"카페,디저트"
102,섬광,"카페,디저트"
103,쉘터 해방,"카페,디저트"
104,오츠커피 용산점,"카페,디저트"
105,베이커리무이,베이커리
106,계단집,"카페,디저트"
107,오잇,"카페,디저트"
108,레인리포트,"카페,디저트"
109,때가이르매,"카페,디저트"
110,브릭샌드 서울역점,"카페,디저트"
111,15미뉴엣,"카페,디저트"
112,르몽블랑,"카페,디저트"
113,더하우스1932,"카페,디저트"
114,베어글 서울시청,"카페,디저트"
115,비스테까,이탈리아음식
116,WE COFFEE,"카페,디저트"
117,눕카페&피자펍,카페
118,About Bagel,베이커리
119,식캣사인,"카페,디저트"
120,리에제와플 더 뷰,"카페,디저트"
121,토스티데이즈,"카페,디저트"
122,크림커넥션,"카페,디저트"
123,리사르커피 명동점,"카페,디저트"
124,오뷔르베이커리,베이커리
125,그랜드하얏트서울 델리,베이커리
126,커피스니퍼 서울시청점,"카페,디저트"
127,을지빈,카페
128,홍만당 명동본점,"카페,디저트"
129,널담은공간 해방촌점,카페
130,덕수궁 카페 돌담콩,크레페
131,포코아커피,"카페,디저트"
132,포컬포인트,"카페,디저트"
133,태르누이 숙대입구역점,"카페,디저트"
134,코인 명동1호점,"카페,디저트"
135,드로우에스프레소바,"카페,디저트"
136,헤브어트리,"카페,디저트"
137,포엠,"카페,디저트"
138,그랜드하얏트서울 갤러리,"카페,디저트"
139,재해석,"카페,디저트"
140,업스탠딩,카페
141,후로아,"카페,디저트"
142,고라니커피클럽,카페
143,헤베커피,카페
144,마커마크,"카페,디저트"
145,원형들,"카페,디저트"
146,무네이 카페,"카페,디저트"
147,와플하우스,와플
148,비욘드문,"카페,디저트"
149,스타벅스 레스케이프호텔R점,카페
150,KITTE,카페
151,스타벅스 별다방점,카페
152,명동나비,"카페,디저트"
153,카페 잍힝,카페
154,KGML,"카페,디저트"
155,하라케이크,케이크전문
156,해피베어데이 롯데백화점 본점,"카페,디저트"
157,도레도레 서울역 팝업스토어점,케이크전문
158,히든아일렛,"카페,디저트"
159,웨스틴 조선 서울 조선델리,베이커리
160,가배도 남대문시장점,카페
161,콤포타블 시청,"카페,디저트"
162,캐시미어커피,카페
163,빌라커피바,"카페,디저트"
164,넬보스코 남촌빵집,베이커리
165,을지로 문덕 커피,"카페,디저트"
166,스타벅스 환구단점,카페
167,로너,카페
168,오하요 도넛,도넛
169,카페구할구 남산,카페
170,코인 명동2호점,"카페,디저트"
171,코타티 해방촌,아이스크림
172,그랑플라스드이태원,초콜릿전문점
173,어텀브릿,"카페,디저트"
174,오베흐트,도넛
175,해방공원,"카페,디저트"
176,상향선,"카페,디저트"
177,파리크라상 서울역점,베이커리
178,보마켓 경리단점,"카페,디저트"
179,베이킷,"카페,디저트"
180,서울루덴스,카페
181,온더플랜커피랩,카페
182,S.caf,"카페,디저트"
183,블랑제리 더 플라자,베이커리
184,빌라앰버시,"카페,디저트"
185,소마드로잉카페 명동점,테마카페
186,로이터 커피 셸터,"카페,디저트"
187,여섯시오븐 롯데백화점본점,베이커리
188,두들피스,베이커리
