,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
어글리베이커리,크림빵615,얼그레이249,치즈149,맘모스빵87,흑임자80,"맛2,036","만족도1,258",대기시간210,서비스180,가격83,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
더바이글,베이글64,치즈31,크림치즈28,카츠산도23,샌드위치18,맛79,만족도66,서비스30,메뉴14,분위기9,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
소설원 망원,푸딩206,휘낭시에175,카스테라168,커피112,우유73,만족도580,맛535,분위기313,메뉴64,목적40,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
투떰즈업,베이글159,맘모스빵25,과일23,치즈16,흑임자14,맛343,만족도212,대기시간34,서비스26,메뉴10,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
비캔드,토스트15,프렌치토스트11,브리오슈6,커피5,크림브륄레4,맛22,만족도18,분위기7,서비스6,메뉴4,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
슈크렌느,커피14,과일8,바질8,애플파이7,홍차7,맛82,만족도62,서비스29,분위기19,음식량6,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
베이크 샵 하벳,케이크10,커피4,치즈케이크2,치즈2,카페라떼1,맛15,만족도8,분위기5,서비스3,메뉴2,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,사진이 잘 나와요
라뚜셩트,케이크81,커피35,휘낭시에28,딸기케이크21,아이스크림12,맛268,만족도214,분위기78,서비스29,가격21,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
비전스트롤 망원점,커피72,푸딩44,라떼14,갈레트14,아이스크림8,맛105,만족도65,분위기22,서비스17,대기시간8,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
구황작물,케이크65,치즈30,커피27,치즈케이크20,샌드위치9,맛99,만족도77,서비스29,분위기9,목적5,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
브릭베이글,베이글194,치즈52,크림치즈22,에그마요18,샌드위치15,맛252,만족도148,서비스76,메뉴14,목적8,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
해브어,케이크60,소금빵32,치즈30,커피21,치즈케이크20,맛148,만족도92,서비스59,분위기20,목적4,친절해요,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요
아브르드팡,커피81,소금빵81,까눌레12,라떼11,아인슈페너11,맛176,만족도130,분위기78,서비스37,위치6,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,빵이 맛있어요,친절해요
