,name,cafe_type
0,Poke all day 포케&샐러드 연희점,"다이어트,샐러드"
1,그레인서울,브런치
2,스웨이커피스테이션,"카페,디저트"
3,프로토콜 연희점,"카페,디저트"
4,보연희,"카페,디저트"
5,푸어링아웃,"카페,디저트"
6,피터팬1978,베이커리
7,매뉴팩트커피,카페
8,아워온즈,"카페,디저트"
9,카페 마,"카페,디저트"
10,앤트러사이트 연희점,"카페,디저트"
11,에브리띵베이글,베이글
12,금옥당 연희점,"카페,디저트"
13,본지르르 연희,카페
14,더반 베를린 연희점,"카페,디저트"
15,폴앤폴리나,베이커리
16,연희 에스프레소 바,"카페,디저트"
17,카시코이,"카페,디저트"
18,보케,"카페,디저트"
19,시간이머무는홍차가게,홍차전문점
20,연희동 국화빵,베이커리
21,디폴트밸류,"카페,디저트"
22,팔레트샐러드 연희점,브런치
23,쿳사 연희,브런치
24,해피앤피스커피클럽,"카페,디저트"
25,연희동오븐,"카페,디저트"
26,비전스트롤 연희점,"카페,디저트"
27,lodge190,"카페,디저트"
28,알트,"카페,디저트"
29,로덴드론 연희 1호점,카페
30,컬러드 빈,카페
31,그로밋커피하우스,"카페,디저트"
32,다도레 티룸,차
33,카페 데스툴 연희점,"카페,디저트"
34,뚤리,"카페,디저트"
35,쿳사 연희,브런치
36,연희양과점 연희점,베이커리
37,베지스,브런치카페
38,피크닉베이크,"카페,디저트"
39,미도파,"카페,디저트"
40,혹스턴,카페
41,뉘블랑쉬,베이커리
42,알레스구떼,베이커리
43,제니스 까페,카페
44,감과당,"카페,디저트"
45,스타벅스 연희DT점,카페
46,그로어스,브런치
47,다크에디션커피,카페
48,카페 니어리,"카페,디저트"
49,포싵,케이크전문
50,티아레나,홍차전문점
51,프레스도넛 연희,"카페,디저트"
52,해피헤비드링커,"카페,디저트"
53,로우키 연희점,"카페,디저트"
54,파츄코 파라다이스,카페
55,콜드레시피,아이스크림
56,모와림,"카페,디저트"
57,객기,케이크전문
58,뺑드에떼,베이커리
59,하니앤손스,"카페,디저트"
60,시도 플레이스,"카페,디저트"
61,까사드선주,베이커리
62,스타벅스 연희동점,카페
63,미크 커피,카페
64,곳간,카페
65,본솔커피 연희점,카페
66,휴,"카페,디저트"
67,카페 브라마솔레,카페
68,니도 로스터리 연희,"카페,디저트"
69,버드스틱,베이커리
70,래인,"카페,디저트"
71,카페 베이지크,"카페,디저트"
72,마이디어스윗,"카페,디저트"
73,비피엠 파이엔타르트,"카페,디저트"
74,오트,브런치
75,더그레이하우스,"카페,디저트"
76,커피팝,카페
77,금양식방,베이커리
78,초콜릿책방,북카페
79,1994studio,케이크전문
80,빵쌤 연희점,베이커리
81,커피팜,"카페,디저트"
82,아텐데르,"카페,디저트"
83,다파올로,아이스크림
84,공간커피,카페
85,하이파이,베이커리
86,베리굳베이글 연희점,카페
87,벨르아티,차
88,에스페란자 로스터즈 연희점,"카페,디저트"
89,그레인서울,브런치
90,퍼스트바이쓰리,"카페,디저트"
91,디싸이시브모먼트,카페
92,반지하1호,"카페,디저트"
93,루카카페,"카페,디저트"
94,컨시어지커피,카페
95,제니스커피하우스,카페
96,카페서문,"카페,디저트"
97,잘루,"카페,디저트"
98,산스,브런치
99,투어스비긴,스터디카페
