title,content
성수동 기념일 도시락 케이크 훌로훌로 주문제작 후기,"성수동 도시락 케이크 훌로훌로 케이크 안녕하세요. Moody 무디입니다. 남자친구랑 600일을 맞아서 기념일에 먹으려고 주문제작 도시락 케이크를 주문했어요! 성수동에 위치한 훌로훌로 케이크를 소개합니다 ~ 짜잔 - 제가 일하는 곳에서 가장 가까운 곳으로 찾아보다가 발견하게된 훌로훌로 케이크예요 카카오톡으로 주문을 할 수 있었고, 무엇보다 인스타그럄에 가격이 투명하게 공개되어있어서 아주 믿음직스러웠습니다 :) 픽업하러 가기로한 날에 매장으로 방문했어요 주택 건물 1층에 위치해있는데 매장 앞에 차가 주차 되어있어서 성수동에 이런 가게가 있는줄도 모르겠더라구요 ㅠ ㅠ ⏰ 영업시간 화,수,목,금 오후 12시 ~ 7시 토 오전 11시 ~ 3시 이 시간 외에는 픽업이 불가능해요 ! 저는 평일 6시 반에 픽업했습니다 성수동 도시락케이크 가게가 이렇게 예뻐도 되는 건가요 ! 케이크 픽업 잠시 기다리면서 매장을 구경했는데 군데군데에 감각적인 인테리어로 꾸며져있더라구요 :) 제가 주문한 도시락 케이크예요 ! 남자친구와 600일 기념으로 주문했는데 디자인이 너무너무 귀엽지 않나요 ㅠ ㅠ 도시락 케이크 가격은 29,000원이었습니당 카운터 쪽에 요로코롬 귀여운 초가 가득 있었구요 기본으로 서비스 초가 제공되더라구요 !! 👍🏻 저는 거리가 가까워서 보냉팩은 따로 하지 않았어요 귀여운 도시락 속에 담겨져있는 케이크 ,, 🎂 드디어 개봉박두두두두 아 진짜 디자인 제가 골랐지만 심하게 귀여움 .. 왼쪽 오른쪽 곰돌이 디테일도 최고구요 레터링 문구도 예쁘게 넣어주셨답니다 ♥︎♥︎ 파티에 케이크가 빠지면 섭하잖아요 ㅎㅎ 성수동 도시락 케이크 찾고계시는 분들 !! 훌로훌로 케이크 이 집으로 정착하십쇼 .. 약간 측면에서 본 곰돌이는 그야말로 입체감 대박이구요 ㅎㅎ 뽕실뽕실 귀엽게 생겼읍니다 .. 정면에서 본 곰돌이 오른쪽 곰돌이가 쪼꼼 더 못생겨서 내맘대로 남친 곰돌이라고 해버리기 😊 기념일에 도시락 케이크 하나로 분위기가 확 살아나서 저는 기념일 때마다 요로케 작은 케이크를 준비하는 편이에요 디자인, 문구 등 모두 직접 고르고 주문제작하기 때문에 더욱 뜻 깊은 케이크로 장식할 수 있답니다 :) 저는 천원을 추가하고 케이크 속을 초코시트로 변경했어요 너무 달지도 않고 적당히 달달해서 단걸 못 먹는 제 입맛에 딱 ! 엄청 촉촉하고 부드러워서 웬만한 케이크집 뺨친다구요 ~~ 가격도 괜찮은 편이고 케이크 맛까지 좋아서 성수동 도시락 케이크 또는 성수 도시락케이크 찾으시는 분들께 아주 강추드리는 훌로훌로 방문후기였습니다 :) 50m © NAVER Corp. 훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 #성수동케이크 #성수동도시락케이크 #성수주문제작케이크 #주문제작케이크 #도시락케이크추천 #도시락케이크맛집 #서울주문제작케이크 #건대도시락케이크 #기념일케이크"
성수동 깜찍하고 귀여운 레터링 케이크 맛집 훌로훌로 케이크,"안녕하세요~ 얼마전에 저희 커플이 2000일이었는데요! 좀 늦었지만 기념일라 레터링 케이크를 준비했는데요! 성수동에 있는 훌로훌로 케이크 입니다! [내돈내산/ ⭐️⭐️⭐️⭐️] 성수역 3번 출구에서 도보로 약 13분 소요 서울숲역 2번 출구에서 도보로 약 20분 소요 골목 사이에 있어서 저희는 한번 지나쳤습니다 ㅎ 간판도 영어로 되어있어서 몰랐는데요! 저희는 주말 토요일에 예약했습니다~ ⭐️영업시간⭐️ 평일 12:00-19:00 토요일 12:00-15:00 (매주 월/일 정기 휴무) 매장은 작고 아담하지만 밝고 따뜻한 분위기였어요~ 아기자기한 소품들도 정말많아서 저는 사진찍기 바빴는데요! 한쪽에는 포토스팟처럼 예쁘게 꾸며두셨어요~ 저도 마음같아서는 저희 케이크를 올려두고 찍고 싶었는데.... 다음 장소 예약때문에 빨리 확인하고 가서 아쉬웠어요.. 귀엽고 예쁜 초들도 있는데요 생일을 맞이해서 다양한 악세서리도 있고 취향에 맞춰서 사용할 수 있는 귀여운 초들도 많았어요! 저희는 무료로 주시는 초를 이용했습니다! 저희는 초코시트로 주문했고 도시락케이크로 주문했는데 기본 19,000부터 시작이에요! 흰바탕에 짧은 레터링이 올라간 금액인데 저희는 색상 수, 그림, 레터링 수에 따라서 추가금액을 내고 주문했습니다~ 주문은 여기 카카오채널에서 주문이 가능합니다! 카카오톡채널 - hullohullo cake (kakao.com) hullohullo cake 성수동 주문 제작 케이크샵 (24시 무인 픽업) lettering cake/custom cake pf.kakao.com 아기자기해서 좋았는데요! 중앙부분에 약간의 실금처럼 그런 부분이 있더라구요ㅠ 약간 얼굴있는부분이고 해서 좀 아쉬웠지만 귀엽고 저희가 원하는대로 나와서 좋았습니다! ⭐️취소규정⭐️ #픽업 1일전~당일 취소 : 절대 불가 (일정변경/환불 불가) #픽업 7일전 취소 : 전약 환불 가능 #픽업 6일전~ 2일전 취소 : 취소 위약금 5,000원 맛은 초코맛이 강했는데 위의 크림이 생각보다 달고 느끼해서 다 먹지는 못했는데요! 그래도 너무나 귀엽고 깜찍한 레터링 케이크라서 기념일날 서울숲이나 성수동가실때 추천드립니다!! 50m © NAVER Corp. 훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 오늘 포스팅은 어떠셨나요? 다음에는 더 맛있고 재밌고 꿀팁가득한 포스팅으로 돌아올께요~"
"성수동 주문제작 케이크 추천, 훌로훌로 케이크 | 쿼카 케이크, 생일, 기념일","안녕하세요, 쏘현이에요. 성수동에 위치한 주문제작 케이크집 ‘hullo hullo (훌로훌로)케이크’를 소개할게요 - 쿼카씨 생일을 맞아 주문제작 케이크를 찾다가 인스타그램에서 훌로훌로 케이크를 알게 되었어요 50m © NAVER Corp. 훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 위치 서울 성동구 성수이로6길 11 영업시간 12:00-20:00 (월요일 휴무) 예약/문의 카카오톡 채널 ‘훌로훌로케이크’ 인스타그램 @hullohullo_cake 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake) • Instagram 사진 및 동영상 팔로워 178명, 팔로잉 39명, 게시물 58개 - 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake)님의 Instagram 사진 및 동영상 보기 instagram.com 예약 / 주문 방법 카카오톡 채널 ‘훌로훌로케이크’ 채팅 1. 이름/연락처 2. 픽업 시간 3. 케익시트 4. 사이즈 및 모양 5. 문구 or 원하는 디자인 사진 메시지 발송 -> 상담 후 예약 진행 금액 입금 후 확정 카톡을 받고 예약시간에 맞춰 픽업하러 갔어요. 지하철 역과는 거리가 좀 있어 버스 타고 갔어요 :) 너무 예쁜 매장..♥ 10월 1일에 오픈한 따끈따끈 신상 케이크집이랍니다 아기자기한 소품들로 꾸며져있는 매장 인스타 감성 제대로져 🔫 다양한 초와 파티용품도 판매하고 있어요. 저는 귀여운 하트 초를 구매했어요. 짠, 안경 쓴 쿼카 케이크 🎉🎂 남자친구 별명이 쿼카인데 너무 찰떡인거 있죠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 심지어 안경까지 씌워져 있어서 와 이거다 하고 바로 주문했답니다 🤓 함께 구매한 초록색 하트 스마일 초도 꼽꼽 - 정말 맘에 들어요 .. ♥ 선물받은 당사자보다 제가 더 좋아하기 식당에서 생일 축하노래 불러줬읍니다 🪩 좋은 건 한번 더 - 집 와서 축하파티 한번 더 했어요 ! ▶ 케이크 정보 ◀ [ 초코 / 당근 시트 중 선택 ] - 초코 케이크 [ 사이즈 및 모양 | 도시락, 1-3호 / 원형, 하트, 사각 ] - 도시락 / 원형 저는 초코 시트로 선택했는데 기대 이상으로 맛있었어요 ! 안에 생크림도 부드러웠고, 케익 윗 부분은 생크림인 줄 알았는데 치즈더라구요 :) 사실 주문 제작 케이크는 맛을 기대하지 않는 편인데 오.. 너무 맛있어서 놀랬어요 😮 가격도 디자인 케이크이다보니 비쌀까봐 걱정했는데 원하는 디자인에 합리적인 가격으로 할 수 있어 좋았어요. 인스타그램에 다양한 디자인 업로드 되어있으니 참고해주세요. 생일, 기념일 주문제작 케이크 맛집을 찾으신다면 성수동 훌로훌로케이크 추천드릴게요 ➰ ♥"
[믿고 보는 리뷰] 엄마 생신 선물 제 3탄 / 경옥씨 꽃길만 걷자~맞춤 케이크 / 성수동 훌로훌로 케이크,"내돈 내산 구매 후기 안녕하세요. GO집요정 입니다. 오늘의 믿고 보는 리뷰 엄마 생신 3탄 맞춤 수제 케이크 훌로훌로 케이크 입니다. 외관이 노랑색 컬러와 너무 잘 어울리는 훌로훌로케이크 입니다 간판도 어찌 이렇게 귀여울까요? 내부는 많이 넓지는 않지만 귀여운 초들이 맞이합니다. 안쪽은 작업실인가 봅니다. 해가 잘 들어와서 따뜻한 느낌을 주네요~~ 성수 훌로훌로케이크 캐릭터가 눈에 쏘옥 들어옵니다. 같이 신날꺼 같습니다. 케익에 초는 빠질 수 없죠~~ 기본 숫자초부터 스마일초까지 다양합니다. 멍뭉이, 검은 고양이 초 너무 귀여워요~~ 하지만 오늘은 엄마 생신이기 때문에 무난한걸로 골랐습니다! 시트는 당근, 초코 케익 두가지 중에 고를 수 있습니다. 저희 엄마는 달달한걸 안 좋아하므로 당근 시트로 픽! 크림은 크림치즈로 만듭니다! 이게 정말 진하고 맛있었어요~~~ 진짜 크림 하나하나까지 소중하게 싹싹 먹었습니다. 100% 수작업이라 너무 이쁜거 같아요~~ 다음에 아빠 생신때도 하려합니다! 훌로훌로케이크 예약해서 좋은날 맛 보는 걸 추천 드립니다. 감사합니다. 예약 방법 카카오톡 친구 추가 hullohullo cake 성수동 케이크샵 lettering cake/vintage cake/lovely cake pf.kakao.com 인스타 @hullohullo_cake 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake) • Instagram 사진 및 동영상 팔로워 401명, 팔로잉 42명, 게시물 155개 - 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake)님의 Instagram 사진 및 동영상 보기 instagram.com @hullohullo_cake 인스타 가면 금손이 사장님 작품을 볼 수 있습니다~~"
"[성수동, 훌로훌로 케이크] HULLO HULLO 주문제작 수제케이크 맛집 생일케이크 추천!","요번에 제 생일을 맞이해 친구가 주문제작 케이크를 선물해 주었어요! 너무 맛있게 잘먹어서 다음엔 한판 살 예정 .. 바로 훌로 훌로 케이크💛 인스타그램 들어가시면 더 이쁜 케이크 많이 보실 수 있어요! 문의는 카카오톡 채팅으로만 문의 가능하고 월.화는 휴무 입니다 :) 외관모습은 아담한 매장으로 생겼어요! 성수역에서는 걸어서 꽤 거리가 있습니다~ 대략 10-15분 정도 되게 오래된 건물들 사이에서 혼자만 노랑색 컨셉이라 딱 봐도 디저트집으로 한눈에 찾을 수 있어요 ㅎㅎ 안에들어가면 아기자기한 소품들로 꽉꽉 채워서 따뜻한 느낌으로 너무 이쁘게 꾸며져있어용💛 요런 민트색 가구.. 매치하기 쉽지않은데 사장님 감각있으신듯 ㅠㅠ넘 이쁨 소품도 미국과자로 흔하지 않은걸로 디피 되어있으니 괜히 더 멋져보이잖아요~ 사실 미국 시리얼이랑 과자를 몇번 직구를 해 보았기에 치즈잇 과자랑 제너럴밀스 시리얼이 눈에 들어오네욬ㅋㅋㅋ 벽엔 포스터 ! 훌로훌로 케이크 캐릭터 너무 귀여운거같아요. 케이크를 사면 초를 빼먹을 순 없죵 !!! 아주 다양하고 많은~~~~ 종류가 넘쳐납니다. 다예뻐서 고르기 너무 어려웠음 ㅠㅠ 초는 제가 고른거구, 불 붙일 수 있는 성냥과 포크를 같이 넣어주셨어요. 개봉박두.. 너무 이쁘죠 !!!! 곰돌이 모양 케이크는 진짜 첨인데 너무 귀여워서 먹기 아까웠어요 ㅠㅠㅠㅠㅠㅠㅠㅠ 해피벌스데이 한나 ! 고마워 콩떡쒸 💓 촛불키니까 더 예뻐 !!! 먹느라 정신 없어서 케이크 속을 못찍었는데 ㅠㅠㅠ 이거라두 케이크 맛은 초코+치즈였어요 ❤️ 남자친구랑 같이 먹었는데, ""내가 좋아하는 초코랑 치즈가 같이있네 진짜 맛있다!"" 내가 먹어본 케이크중 젤 맛있다몈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다음에 한판 사줄게 ., ㅎㅎㅎㅎ 그럼 앞으로 남은 내 생일을 즐겁게 즐겨보자 🎂"
[성수동 수제 레터링 케이크] 훌로훌로 케이크,"훌로훌로케이크 화요일 휴무 운영시간 12:00~20:00 50m © NAVER Corp. 훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 안녕하세요 :-) 뽀블린이에요 주말에 친구 생일파티가 있어서 다녀온 핫플레이스 성수동 30세 기념으로 좀 색다른 케이크를 해주고싶어서 여기저기 찾아보다가 발견한 곳!!! 계란 한판 케이크 할까하다가 귀여운 곰돌이 케이크에 딱 눈이 가더라구요 마침 친구가 초코 덕후라 더 눈에 띄었던 케이쿠!!!!! 카톡 문의로 예약 할 수 있어요! hullohullo cake 성수동 케이크샵 lettering cake/vintage cake/lovely cake pf.kakao.com 원하는 케이크 사진이랑 원하는 날짜 문의하면 친절하게 답변해주십니당 @-@ 위치는 성수역 3번출구에서 도보 10~15분 정도? 초행길이라 좀 헤메긴했는데 지도 보면서 가면 어렵지 않아요!!!!! 매장 외부 골목 골목에 이렇게 딱!! 위치해 있어요 아기자기하고 귀염뽀짝한 인테리어 가득 포크랑 귀여운 초 한개도 같이 주셨어용 숫자초는 따로 하지않고 저 초를 곰돌이 코에 꽂는게 뽀인트 더라구요 후훗 ㅋㅋㅋㅋㅋ친구가 제 정신아니죠 와인에 취했나ㅋㅋㅋㅋ 피노키~~오 킄킄 넘 예쁜 케이쿠 주인공 친구가 너무 좋아해서 저도 뿌듯 했어요 >-< 먹기 아깝다고 하더니 자기이름을 떼서 뇸~~~~ 먹어버렸어요 도시락 케이크 종류도 여러가지 있고 원하는 디자인도 해주시는거 같더라구요 무엇보다 도시락케이크 여러군데서 해봤는데 항상 겉에 생크림은 다 덜어내고 먹었어요 너무 느끼하고 인공적인?맛이 강해서 사진찍고 다 덜어버리고 안에 빵만 골라서 먹었거든요 근데,, 이 케이크 너무 맛있는거에요 케이크 안좋아던 친구도 한입 먹더니 오~? 하면서 맛있다고 몇번 더 먹더라구요 단거 안좋아는 제 입맛에도 초코 덕후인 주인공 친구입맛에도 너무 잘 맞았던 케이크 성수동에서 약속있거나 기념일 케이크 레터링 케이크, 주문제작 케이크 찾고계시면 여기 추천합니당!!!!!! 곰돌이 케이크 꼭 드셔보세욤 내돈내산내먹 케이크 후기 끝!"
성수동 훌로훌로 : 레터링 도시락 곰돌이 생일 케이크 (크림치즈초코),"내돈내산 • 직접 알아보고 문의하고 픽업하고 성공해서 너무너무 뿌듯했던 영롱한 케이크 후기 🤍✨🤍 구매처 : 훌로훌로 케이크 남자친구오ㅏ 나는 생일이 3일차이라 함께 생일을 축하할 케이크를 제작하려고 알아보던 중 인스타그램에서 처음 보자마자 바로 무조건 여기야 !싶어서 위치 서울인것만 확인 한 뒤 (ㅋㅋㅋ) 혹시나 마감될까 바로 카톡드려서 냅다예약부터 했다 위치는 성수동 ~~ 골목안쪽 케이크 샵이었다 :) 문의 드릴때 부터 사장님께서 너무너무 친절하시고 픽업할때 케이크를 보여주시는데 파워 금손이셨음 ㅠㅠㅠ 매장안에 예쁜 초가많았는데 내 눈에 제일 귀여웠던 공룡 모양 초 2개도 구매했다 :) 🦖🦕 사장님께서 주신 자근 초콜렛 🍬 너무 귀엽고 맛있었다!.! 픽업 해 온 상태 집까지 가지고 오면서 지하철-버스 3번이상 갈아타고 앉았다 일어났다 하며 좀 많이 흔들렸었는데도 쉐잎이 이렇게 잘 유지되어있어서 깜짝 놀랐다 뭔가 도시락상자에 딱 맞는 크기&형태에서 오는 안정감..? 성수동 훌로훌로케이크 재생 4 좋아요 0  접기/펴기 성수동 훌로훌로케이크 열두시 땡 🎂 생일 축하를 했다 하나씩 초불고 소원을 빌었다 그리고 다음날~.~ 아침으로 달달한 케이크를 먹고 출발하려 했다 * 여기서 리뷰를 쓰게 된 이유 : <<<존 맛 탱>>> ! 진짜로 인생 초코 케이크,, 브라우니만치 꾸덕거리고 크림치즈가 달달하고 잘어울렸다 너무 맛있는 초코라 아침부터 빈속임에도 케이크 한판 클리어헸다 다음엔 당근케이크로도 먹어봐야지 아마 무조건 맛있을거같다🙂 덕분에 예쁜 추억 만들었다 - 친절하신 사장님께도 너무너무 감사했고 이미 매우 유명한 케이크샵이지만 모르는 사람 없게 더 더 알리고싶어 작성한 포스틩 🖤"
"훌로훌로케이크, 성수동 제작 곰돌이 도시락 케이크 🐻","첫 제작 케이크 후기,, 친구랑 레터링 케익을 알아보던 중 (둘다 거대한 케익, 크림 많은거 별로 안좋아하고 또 레터링 케이크첫 주문이라서) 1. 도시락 사이즈 크기 2. 레터링 케이크 or 캐릭터 케이크 3. 흔치 않은 디자인 이 세가지를 기준으로 찾아봤다. 그러다가 찾은 #훌로훌로케이크 ❤️ 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake) • Instagram 사진 및 동영상 팔로워 178명, 팔로잉 39명, 게시물 58개 - 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake)님의 Instagram 사진 및 동영상 보기 instagram.com 인스타에서 친구랑 저 곰돌이 보자마자 반해서 바로 카카오톡으로 문의 및 예약 진행했다 ! hullohullo cake 성수동 케이크샵 lettering cake/vintage cake/lovely cake pf.kakao.com 대망의 픽업날 서울숲역에서 버스 타고 슝 🚌 초 엄청 많았다. 진짜 귀여운것만 가득 ㅠ 아기자기 귀엽게 잘 꾸며놓으심..! 픽업을 기다리고 있는 곰돌이,,🐻 아니 곰돌이 진짜 귀엽지 않나요??! 이렇게 예쁘게 리본 포장해주시면서 포크랑 서비스 초도 하나 챙겨주신다 모양이 망가질수도 있다고 조심히 들라고 하셔서 애지중지 진짜 조심조심 들고 갔다. 난 이미 전적이 많은 사람이라서,,,🙄 식당에서 오픈했는데 꺅!!!! 내가 골랏지만 넘 귀여워!!! 초를 다들 명치에 꽂길래 우리도 따라함 헷 진짜 졸귀탱이었고 이 맛에 다들 레터링 케이크 하는구나.. ❤️🐻 맛은 친구가 후기 주면 추가할 예정 ! 여기 사장님 넘 친절하시고 다른 케익도 짱 귀엽다.. 번창하세요 ➿ 50m © NAVER Corp. 훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 + 친구의 후기 ❤️"
성수동 레터링 케이크 추천 hullo hullo 훌로훌로 케이크 - 5번시킴,"몇년전부터 레터링 케이쿠 처돌이 인데 집근처에는 없어서 항상 건대나 구의쪽에서 주문제작을 했다! 하지만 작년에 지나가다가 동네에 케이크집이 생긴걸 발견~! 올해만 5번 먹었다(고것도 초코케이크로만) 근데 역근처가 아니라 성수동 주택가 쪽이라 동네 사람들이 많이 주문할것 같다 훌로훌로 케이크 추천합뉘당 -초코케이크 맛있음 (당근케이크는 안먹어서 봐서 몰라) -케이크 색깔에 따라 유산지 색깔도 맞춰주시는 센스 -친절하시다 -우리집에서 가깝다 (중요) -그림을 잘그려주신다 -케이크 귀엽다! -이중글씨여서 글씨가 잘보인다 -한글레터링 잘 못하시는 슨생님들 있는데 존잘이시다 50m © NAVER Corp. 훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 [2월] 이건 내가 처음 받은 내 생일케이쿠~ 이거는 훌로훌로 선생님 인스타에 보고 요청 드린것 같다(?) 내가 주문안해서 몰라 초코 냠냠 이 이후로 5번 다 초코만 먹은게 함정 당근도 먹어보고싶은데 맨날 초코만 먹어,,, [3월] 친구생일 케이크~ 춘식이랑 칭구가 좋아하는 초록색~! 이것도 칭구가 주문해서 몰라 [4월] 또다른 친구 생일 칭구는 핑크공쥬다 매번 핑크로 케이크해주는데 훌로훌로 인스타 보니 찰떡인 v핑크v케이크 있어서 문구만 바꿔서 요청했다 이 케이크랑 다이소 공주세트 귀걸이랑 왕관이랑 개 찰떡임 허락받아서 다이소 공주셋투 사진 추가해야지 생일 주인공~!~! 완전 핑크 찰떡임 채도 낮은거 ㄴㄴ 높은 핑크가 최고다 저 친구 오기전에 이 친구랑 같이 파티 꾸미기 중,, 정말 깜찍하다 우리 친구들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 생일주인공 챙기는 철저함 휴;; 수행했습니다 [4월] 또또다른 친구생일 이 친구는 부드라미 ? 이모티콘을 이때 정말 많이 써서 그 임티로 내가 그려서 요청드렸다~ 넘모 귀엽게 잘 그려주심 [7월] 이번달에 오랜만에 케이크를 챙겨줄 친구 생일이었다! 이 친구도 춘식을 좋아해서 요청드렸는데 넘모 귀엽게 그려주셨다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이거는 나랑 다른친구가 그린 도안,,,jonna못그린다 하튼 케이크위에 그림을 어찌저리 잘그리지? 하튼 또 시킬의향 100%% 선생님 이 글 보신다면 이사가지마세요ㅠㅠ"
서울 성수동 레터링 주문 케이크 전문점 [ 훌로훌로케이크 ],"훌로훌로케이크 서울특별시 성동구 성수이로6길 11 1층 훌로훌로케이크 훌로훌로케이크 * 12:00 ~ 20:00 ( 월,화요일 휴무 ) * 서울 성수동에 있는 수제 레터링 케이크 전문점 훌로훌로케이크 주문제작 케이크로 원하는 디자인, 문구로 예쁜 케이크를 선물하기 좋은 곳이에요 성수동 골목에 있어서 찾기도 쉬워요! 파티용품과 귀여운 초도 판매하고 있어서 케이크 받으러 갈 때 같이 사도 좋을거 같아요 케이크는 당근케익, 초코케익 크림은 모두 크림치즈크림 입니다! 사이즈는 도시락사이즈부터 1호~3호, 2단 케이크까지 가능! 모양이나 장식, 색상, 그림, 디자인에 따라 추가 금액이 발생하니 문의해보세요 가볍게 도시락 케이크로 주문! 귀엽 ㅠ_ㅠ 이렇게 귀여운 곰돌이 케이크로 주문했어요 다람쥐로 하고 싶어서 문의했는데 다람쥐는 느낌이 많이 안 날거라고 하시길래 그래도 비슷한 곰돌이로 ㅎㅎㅎㅎㅎ 역시 친구가 친구답게 초를 입에 꽂아줬어요 진한 초코케익으로 달달구리하게 맛있게 잘 먹었습니다 :) 문의하는데도 친절하시고 맛도 좋고 디자인도 귀엽고 생일이나 기념일 케이크로 큰거는 부담스러울때 하면 좋을거같아요 https://www.instagram.com/hullohullo_cake/ 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake) • Instagram 사진 및 동영상 팔로워 448명, 팔로잉 43명, 게시물 173개 - 훌로훌로 케이크 | hullohullo cake(@hullohullo_cake)님의 Instagram 사진 및 동영상 보기 www.instagram.com"
