,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
어글리베이커리,1348768821.0,크림빵619,얼그레이249,치즈152,맘모스빵87,흑임자80,"맛2,047","만족도1,263",대기시간212,서비스182,가격83,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
더바이글,1416238798.0,베이글66,치즈31,크림치즈28,카츠산도26,샌드위치19,맛86,만족도68,서비스31,메뉴14,분위기9,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
소설원 망원,1988455172.0,푸딩207,휘낭시에176,카스테라168,커피113,우유74,만족도582,맛538,분위기314,메뉴64,목적40,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
투떰즈업,941188692.0,베이글159,맘모스빵25,과일23,치즈16,흑임자14,맛343,만족도212,대기시간34,서비스26,메뉴10,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
슈크렌느,1256673550.0,커피14,과일8,바질8,애플파이7,홍차7,맛85,만족도66,서비스30,분위기20,음식량6,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
베이크 샵 하벳,1367299797.0,케이크11,커피4,치즈2,치즈케이크2,카페라떼1,맛16,만족도8,분위기6,서비스3,메뉴2,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,사진이 잘 나와요
비전스트롤 망원점,1672249532.0,커피74,푸딩46,라떼15,갈레트14,아이스크림9,맛108,만족도67,분위기24,서비스17,대기시간8,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
구황작물,1941199046.0,케이크65,치즈30,커피27,치즈케이크20,샌드위치9,맛99,만족도77,서비스29,분위기9,목적5,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
브릭베이글,1759690653.0,베이글195,치즈52,크림치즈22,에그마요18,샌드위치15,맛255,만족도150,서비스77,메뉴14,목적8,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
해브어,1670713183.0,케이크60,소금빵32,치즈30,커피21,치즈케이크20,맛149,만족도92,서비스59,분위기20,목적4,친절해요,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요
아브르드팡,1167345645.0,커피81,소금빵81,라떼12,까눌레12,아인슈페너11,맛177,만족도131,분위기79,서비스37,위치6,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,빵이 맛있어요,친절해요
올웨이즈어거스트로스터스,1916722465.0,커피58,라떼18,케이크12,아메리카노10,쿠키5,맛87,만족도67,분위기30,서비스17,가격5,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
딜리커피 망원,1642598415.0,샌드위치71,커피36,젤라또28,아이스크림12,치킨11,맛76,만족도59,서비스28,가격12,음식량8,커피가 맛있어요,가성비가 좋아요,디저트가 맛있어요,친절해요,매장이 청결해요
후와후와,1087879784.0,소금빵9,베이글3,카스테라2,식빵2,밤식빵1,맛10,만족도5,메뉴2,분위기1,서비스1,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
밀로밀,1837601021.0,소금빵164,바게트36,치아바타34,까눌레32,타르트26,맛256,만족도110,서비스34,가격13,대기시간6,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
티노마드,1407848569.0,"빙수1,170",화과자367,말차빙수359,라떼125,녹차118,"만족도3,560","맛2,458","분위기1,697",서비스630,예약222,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
베이코닉 브런치바,1548894301.0,케이크13,팬케이크11,파스타11,토스트10,프렌치토스트10,맛66,만족도54,분위기16,서비스14,메뉴11,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
커피가게동경,33152234.0,아인슈페너206,커피168,드립커피12,밀크티12,비엔나커피8,맛342,만족도168,분위기41,서비스39,메뉴20,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
크림데이 글루텐프리 케이크샵,1000020305.0,케이크396,치즈43,우유34,치즈케이크33,딸기케이크30,맛716,만족도468,서비스151,목적82,예약21,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,선물하기 좋아요,건강한 맛이에요
포트레이트커피바,1813667950.0,커피95,라떼24,토스트21,프렌치토스트18,바질13,맛157,만족도123,서비스47,분위기42,방역4,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요
레스피레,1727492792.0,소금빵243,커피103,라떼31,크로와상14,아인슈페너13,맛353,만족도194,분위기64,서비스59,대기시간12,커피가 맛있어요,빵이 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요
망원 지튼,1618890289.0,커피96,케이크31,타르트24,까눌레21,쿠키17,맛180,만족도136,분위기61,서비스25,메뉴16,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
커넥츠커피 망원,1923036804.0,커피389,라떼65,푸딩28,드립커피25,아메리카노24,맛484,만족도303,서비스140,분위기78,메뉴59,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,인테리어가 멋져요
모을,1876359522.0,커피14,과일11,드립커피3,핸드드립2,토스트1,만족도15,맛11,분위기6,서비스3,메뉴2,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요
이이알티 망원,1536816099.0,커피63,라떼20,과일17,드립커피13,과일차12,만족도173,맛153,분위기86,서비스38,청결도7,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
라바즈,1450830938.0,타르트26,과일9,휘낭시에6,케이크4,밀푀유4,맛89,만족도66,서비스18,목적5,가격5,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
콘웰,1754355439.0,커피85,빙수23,크로플23,옥수수19,케이크10,맛163,만족도123,서비스66,분위기50,메뉴12,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
두두리두팡,1058857466.0,케이크39,까눌레13,치즈12,치즈케이크7,커피7,맛91,만족도72,서비스12,가격12,분위기6,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,매장이 청결해요,커피가 맛있어요
딥블루레이크,37654332.0,커피247,라떼52,아메리카노24,파운드케이크17,드립백16,맛321,만족도210,서비스52,분위기40,메뉴18,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
보통공원,1412734296.0,커피75,라떼12,와인7,핸드드립6,과일5,만족도134,맛131,분위기76,서비스54,메뉴6,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
광합성카페,37659034.0,토스트229,프렌치토스트210,커피139,브루스케타93,티라미수62,맛768,만족도672,분위기261,서비스106,메뉴105,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
모아새,1028057366.0,,,,,,만족도77,맛59,목적29,서비스12,대기시간4,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
이스트우드 망원점,1484279080.0,휘낭시에123,커피100,라떼22,라자냐17,구움과자13,맛263,만족도167,서비스64,메뉴31,분위기24,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
락떼스피릿,1243135733.0,,,,,,,,,,,,,,,
필리커피,1580287003.0,커피19,라떼9,인절미7,크로와상3,푸딩2,맛36,만족도33,서비스21,분위기11,청결도1,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
구스커피앤바,1234832125.0,커피65,칵테일17,라떼7,얼그레이6,아인슈페너5,맛73,만족도73,분위기49,서비스22,메뉴2,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,친절해요,디저트가 맛있어요
미완성식탁,1837274244.0,마카롱171,옥수수23,뚱카롱14,바질7,우유7,맛178,만족도131,서비스38,목적19,가격6,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
프레쎄,1746012756.0,쿠키144,커피36,흑임자29,라떼23,흑임자라떼19,맛191,만족도120,목적37,서비스25,분위기18,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
블랑제리코팡,41256488.0,바게트197,바질127,샌드위치58,크로와상52,치즈50,맛585,만족도228,서비스41,메뉴14,가격8,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
카페뎀셀브즈 망원동 소아과점,1353180628.0,커피141,라떼18,아메리카노7,크림라떼7,케이크5,만족도187,맛166,분위기66,서비스32,메뉴10,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,디저트가 맛있어요
흐쎄트,1213764678.0,식빵29,까눌레17,우유11,우유식빵11,휘낭시에7,맛124,만족도54,서비스22,메뉴7,목적4,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,커피가 맛있어요
루아르 망원,1746391981.0,커피111,라떼21,밀크티16,쿠키13,휘낭시에12,맛195,만족도154,서비스60,분위기41,메뉴25,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,매장이 청결해요
도쿄빙수 망원본점,37837603.0,빙수272,망고빙수18,우유14,애플망고빙수10,녹차9,맛316,만족도137,서비스25,분위기17,메뉴11,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
HHSS HOUSE,1237365247.0,커피13,스무디2,드립커피2,스콘1,핸드드립1,만족도22,맛9,분위기6,서비스2,전망2,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,차분한 분위기에요,오래 머무르기 좋아요
단고당,1272551533.0,화과자20,커피19,타르트16,팥빙수13,빙수12,맛112,만족도69,서비스22,분위기15,목적12,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
바이어리셔,1513540731.0,타르트59,까눌레57,에그타르트56,치즈41,케이크41,맛158,만족도98,서비스23,목적18,가격6,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
키오스크,38015307.0,토스트53,프렌치토스트30,커피11,밀크티5,아이스크림4,맛60,만족도41,음식량6,메뉴5,가격4,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요
푸쉬오프 커피앤바,1369333799.0,커피42,푸딩30,바나나푸딩22,토스트20,프렌치토스트16,맛81,만족도69,분위기24,서비스22,메뉴6,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
엣모스피어,36883540.0,마카롱125,케이크42,커피29,쿠키8,밀크티8,맛159,만족도117,서비스26,분위기18,목적16,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
로우머,1219761996.0,커피42,라떼28,크림라떼15,아메리카노8,얼그레이6,맛93,만족도92,분위기46,서비스15,메뉴9,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,디저트가 맛있어요
온리디스베이커리,1675098813.0,커피28,소금빵23,휘낭시에18,치즈11,라떼11,맛63,만족도42,서비스10,목적9,분위기7,빵이 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
프렌치 망원,1380774665.0,토스트62,커피60,프렌치토스트47,라떼12,밀크티9,맛105,만족도76,분위기32,서비스26,메뉴16,커피가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
마떼아,1876676836.0,마카롱108,마들렌36,구움과자17,휘낭시에9,약과9,맛134,만족도73,서비스32,목적20,메뉴6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,선물하기 좋아요
파사도 망원,1367658278.0,커피107,휘낭시에29,라떼21,아인슈페너17,크로칸슈16,만족도210,맛210,분위기127,서비스52,메뉴18,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,친절해요
비고미,1886899395.0,커피16,라떼15,쿠키13,비스코티11,마들렌10,맛65,만족도61,서비스40,분위기6,메뉴4,친절해요,빵이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
웅파이 망원점,1856313483.0,치킨31,고기18,맥주10,소세지10,치즈9,맛289,만족도158,서비스91,음식량6,메뉴6,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
키토빵앗간,1544764300.0,휘낭시에51,쿠키25,치즈24,커피19,케이크17,맛155,만족도144,서비스75,위치10,분위기7,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
콜트 커피바,1786846402.0,,,,,,,,,,,,,,,
망원동티라미수 본점,1982193045.0,티라미수199,커피44,밀크티20,아메리카노17,딸기티라미수15,맛467,만족도221,서비스43,메뉴26,가격22,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
위켄드케이크,1576059168.0,케이크37,레터링케이크7,치즈2,주문제작케이크2,크림치즈1,만족도35,맛25,서비스18,목적8,가격3,디저트가 맛있어요,선물하기 좋아요,친절해요,특별한 메뉴가 있어요,주문제작을 잘해줘요
커차그,1389341393.0,커피15,식혜3,치즈3,다식2,드립커피2,맛29,만족도28,서비스12,분위기11,음식량3,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,매장이 청결해요
평형,1334861428.0,커피17,쿠키8,드립커피7,키슈7,핸드드립3,맛22,만족도20,분위기7,서비스6,방역1,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
에스트 에스트 에스트,1867806692.0,커피49,까눌레40,휘낭시에40,라떼18,케이크9,맛119,만족도81,서비스34,분위기28,메뉴19,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
9ram,1170734401.0,커피44,젤리24,라떼15,휘낭시에15,브라우니10,맛86,만족도66,서비스41,분위기23,메뉴9,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
카페하모니,1336686955.0,푸딩6,쿠키4,마들렌4,라떼4,커피3,만족도78,맛20,가격17,분위기15,예약9,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요
버터크림팩토리 bucfac,1725528988.0,타르트61,에그타르트53,커피9,라떼3,잡채1,맛87,만족도50,서비스13,목적9,메뉴3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요
포스트 노 빌즈,1815597250.0,커피66,푸딩11,바나나푸딩11,에이드7,라떼7,맛90,만족도72,서비스35,분위기29,메뉴5,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
버터베이커리,38420402.0,바게트130,앙버터51,케이크47,치아바타45,치즈42,맛681,만족도310,서비스61,메뉴26,음식량18,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
무슈부부 커피스탠드,1272650574.0,커피87,에스프레소53,콘파냐10,위스키9,칵테일5,맛118,만족도100,서비스34,분위기11,메뉴11,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
망디,1903611268.0,커피26,라떼16,마들렌14,휘낭시에12,쿠키5,맛51,만족도38,서비스13,분위기8,위치4,커피가 맛있어요,친절해요,음료가 맛있어요,빵이 맛있어요,매장이 청결해요
케이크 작업실 : 스튜디오 시루모락,1633206582.0,케이크48,떡케이크21,흑임자14,커피12,마카롱8,맛129,만족도107,서비스47,분위기25,목적17,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,매장이 청결해요
코코부코,37441781.0,쉐이크30,커피15,스무디5,코코넛스무디3,코코넛커피2,맛77,만족도38,서비스10,위치3,메뉴2,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,디저트가 맛있어요
카카오다다,38549516.0,초콜릿14,케이크6,초코케이크5,쉐이크4,쿠키2,맛27,만족도24,목적5,음식량2,청결도1,특별한 메뉴가 있어요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요,선물하기 좋아요
페트롤플레이스,1044976654.0,커피101,라떼23,티라미수15,케이크12,에이드8,맛140,만족도123,분위기76,서비스32,메뉴7,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요
하이놀리,1059973246.0,소금빵17,치아바타14,브리오슈12,식빵6,호밀빵5,맛128,만족도78,서비스41,음식량3,가격3,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
비바쌀롱,37621256.0,라떼9,커피8,초코라떼2,말차라떼1,크림라떼1,만족도87,맛26,서비스20,분위기9,메뉴4,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요,커피가 맛있어요
망원수제고로케,37996787.0,고로케345,꽈배기182,도넛70,찹쌀꽈배기58,찹쌀도너츠47,맛973,만족도528,가격85,서비스57,대기시간35,빵이 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
79파운야드 망원본점,1883382302.0,크로플290,커피133,케이크28,와플26,아메리카노21,맛486,만족도399,분위기179,서비스96,메뉴35,인테리어가 멋져요,빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요
까페 빈틈 M,1776090270.0,와플38,빙수28,커피26,라떼13,과일7,만족도83,맛72,서비스31,분위기26,메뉴9,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
꼬르소산도,1973168151.0,라떼45,커피32,카페라떼3,티라미수2,우유2,맛83,만족도36,분위기26,서비스11,가격3,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
카페 고잉홈,1530045389.0,커피12,쿠키6,바질2,치즈2,토스트2,만족도24,맛14,분위기5,서비스4,목적1,커피가 맛있어요,디저트가 맛있어요,친절해요,집중하기 좋아요,음료가 맛있어요
컵스커피,1635636003.0,커피76,크로플26,라떼9,치즈8,아메리카노5,맛91,만족도71,서비스48,분위기40,메뉴4,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,매장이 청결해요
도래노트,1373662518.0,커피39,츄러스21,푸딩7,라떼4,드립커피4,맛40,만족도29,서비스25,분위기8,가격2,커피가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요,인테리어가 멋져요
레이지독 케이크,1342730817.0,케이크71,레터링케이크15,주문제작케이크12,치즈9,얼그레이8,만족도79,맛49,목적29,서비스27,분위기3,주문제작을 잘해줘요,디저트가 맛있어요,선물하기 좋아요,친절해요,특별한 메뉴가 있어요
픽셀,1757347465.0,케이크72,도시락5,레터링케이크5,도시락케이크4,마카롱3,만족도108,서비스42,맛41,목적19,가격5,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
WHH 와하하,1197147360.0,크로플205,커피65,라떼51,치즈48,에이드47,맛242,만족도202,서비스99,분위기77,메뉴24,디저트가 맛있어요,음료가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
범골커피,1797356132.0,커피17,라떼4,튀김2,아메리카노1,맥주1,만족도20,맛19,분위기9,서비스5,위치4,커피가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요,매장이 청결해요
모구모구과자점 인 망원,1600352079.0,휘낭시에38,쿠키28,커피25,소금빵14,치즈13,맛110,만족도72,서비스37,메뉴12,가격9,빵이 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,가성비가 좋아요
도피,1387504450.0,샌드위치93,커피39,스콘10,요거트9,치즈9,맛202,만족도151,서비스73,분위기35,메뉴12,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,음식이 맛있어요,인테리어가 멋져요
고미푸딩 망원점,1195434395.0,푸딩74,커피12,커스터드7,우유3,얼그레이1,맛68,만족도50,서비스20,분위기8,가격5,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
구뜨몽떼,1994374300.0,커피10,케이크4,드립커피4,타르트3,쿠키3,맛53,만족도46,목적17,서비스14,분위기3,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
언더지,1480159827.0,커피16,맥주8,라떼7,쿠키5,위스키4,만족도39,분위기31,맛28,서비스17,메뉴5,인테리어가 멋져요,커피가 맛있어요,친절해요,대화하기 좋아요,디저트가 맛있어요
빵쌤 마포구청점,1398878124.0,커피80,샌드위치21,케이크17,고구마빵13,식빵13,맛415,만족도346,서비스57,메뉴30,분위기30,빵이 맛있어요,커피가 맛있어요,매장이 청결해요,친절해요,대화하기 좋아요
리벌티 망원,1208045059.0,커피70,소금빵19,쿠키19,라떼16,아인슈페너15,맛130,만족도95,분위기53,서비스25,메뉴5,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
셀렉티드 커피앤스윗츠,1908735902.0,커피135,스콘106,라떼23,퐁당쇼콜라20,핸드드립18,맛264,만족도184,서비스162,분위기61,메뉴23,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
레귤러서비스,87350574.0,바질22,샌드위치20,커피11,밀크티11,라떼9,맛63,만족도34,서비스23,메뉴19,분위기4,음료가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요
헤비타트테이블,1743487646.0,커피20,타코13,위스키7,하이볼6,치킨5,만족도38,맛34,분위기23,서비스12,가격4,인테리어가 멋져요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
리오네,1149154061.0,케이크25,커피24,타르트24,쿠키18,라떼13,맛134,만족도80,서비스35,분위기16,메뉴6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
카인들리,1817130798.0,커피11,휘낭시에7,마들렌6,흑임자5,라떼5,맛22,만족도19,서비스18,분위기8,목적2,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
소소 베이크하우스,1405907736.0,바게트39,샌드위치34,치아바타14,식빵14,타르트12,맛117,만족도49,서비스15,가격8,메뉴3,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
