,code,menu_1,menu_2,menu_3,menu_4,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5,menu_5
카멜커피 9호점,1441318263,커피103,라떼8,앙버터7,아메리카노6,맛101,만족도81,분위기33,서비스18,대기시간9,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,마들렌5
대충유원지,1086377447,커피69,라떼13,크림브륄레10,아메리카노9,맛90,만족도80,분위기38,서비스20,가격4,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요,와인5
디그이지,1973645577,크림브륄레81,커피26,라떼10,얼그레이7,맛186,만족도103,서비스48,분위기18,목적9,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음식이 맛있어요,에이드6
벌스데이투미,1763020097,쿠키19,케이크9,푸딩8,팬케이크7,만족도40,맛32,분위기9,목적4,서비스4,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요,스모어쿠키4
SF bagels,37525977,베이글94,치즈25,크림치즈18,스콘16,맛117,만족도64,서비스23,가격4,메뉴2,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요,당근케이크7
연남동그라미,1221839422,케이크8,컵케이크6,크림치즈1,치즈1,맛23,만족도11,가격3,서비스3,목적2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요,초코브라우니1
푸치케,1680351950,푸딩29,휘낭시에16,소금빵9,커피7,맛35,만족도25,서비스6,메뉴6,분위기6,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,메론빵4
스윗헤르츠,1445114882,푸딩44,케이크36,커피5,아이스크림5,맛80,만족도77,서비스12,분위기12,음식량5,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,밀크티5
웨이즈커피 연남,1283663834,커피508,크로플139,티라미수69,라떼65,맛710,만족도461,분위기186,서비스150,메뉴64,커피가 맛있어요,매장이 청결해요,디저트가 맛있어요,친절해요,인테리어가 멋져요,치즈46
긱스 연남점,1992955163,커피61,에스프레소22,케이크9,라떼5,만족도97,맛73,분위기37,서비스18,메뉴11,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,아메리카노4
88파운드,1546544014,파운드케이크33,케이크28,스콘25,커피16,맛122,만족도67,서비스35,분위기11,가격7,빵이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,가성비가 좋아요,쿠키14
슈타데,1683008236,바나나푸딩3,푸딩3,토스트1,프렌치토스트1,바나나푸딩3,푸딩3,토스트1,프렌치토스트1,캐모마일1,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,친절해요,캐모마일1
휘퍼스,1251407905,케이크30,컵케이크27,커피20,도넛13,맛141,만족도87,서비스41,목적14,분위기8,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,치즈11
커비스컵케이크,1778087184,컵케이크118,케이크114,커피16,라떼7,맛162,만족도139,서비스49,분위기40,목적18,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,아메리카노5
알버트파크,1323961635,케이크52,커피23,스콘21,쿠키9,맛116,만족도80,서비스45,목적6,분위기4,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요,라떼9
연남살롱,20593600,빙수105,푸딩31,팥빙수17,밀크티16,맛160,만족도84,메뉴21,서비스17,분위기8,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요,밀크티빙수16
게슈탈트 커피,1083112932,커피41,크로플13,라떼11,다쿠아즈9,맛72,만족도54,분위기22,서비스4,메뉴3,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,대화하기 좋아요,초콜릿3
아트스뉴욕 연남점,1532916769,커피41,라떼31,베이글26,아인슈페너25,맛83,만족도75,분위기49,서비스37,메뉴8,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요,티라미수17
멜티드,1326124851,젤라또96,아이스크림40,바질32,케이크9,맛134,만족도109,서비스69,분위기17,메뉴9,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,얼그레이9
스윗미업,1408361299,케이크126,레터링케이크28,주문제작케이크5,치즈5,만족도216,서비스107,목적57,맛55,가격6,친절해요,디저트가 맛있어요,선물하기 좋아요,매장이 청결해요,특별한 메뉴가 있어요,크림치즈4
라온디,20502605,초콜릿48,수제초콜릿18,마카롱4,수제마카롱2,목적45,맛33,만족도33,서비스8,예약2,특별한 메뉴가 있어요,디저트가 맛있어요,선물하기 좋아요,친절해요,매장이 청결해요,와인1
그림제작소 연남점,1406853822,,,,,서비스554,만족도118,분위기41,편의・부대시설29,맛17,친절해요,인테리어가 멋져요,사진이 잘 나와요,매장이 청결해요,집중하기 좋아요,
솔트 포레스트,1868894168,커피64,소금커피25,휘낭시에20,얼그레이18,맛108,만족도63,분위기31,서비스20,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,라떼7
온오프연남,1490185987,커피21,치즈12,라떼12,흑임자11,맛56,만족도53,서비스23,분위기12,메뉴6,디저트가 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,케이크9
카페밀노,1848999744,커피33,휘낭시에26,티라미수24,치즈22,맛150,만족도91,분위기33,서비스31,메뉴7,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,케이크16
Osds 연남,1388641559,커피10,라떼2,치즈케이크1,케이크1,만족도20,맛16,분위기8,서비스3,목적1,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,에스프레소1
김보람 초콜릿 연남점,148650743,초콜릿281,생초콜릿98,얼그레이33,헤이즐넛16,맛606,만족도362,서비스249,목적221,가격20,디저트가 맛있어요,친절해요,선물하기 좋아요,매장이 청결해요,특별한 메뉴가 있어요,수제초콜릿12
더세컨드하우스,1154933297,커피40,티라미수37,라떼29,아몬드크림라떼22,맛77,만족도73,분위기47,서비스37,메뉴9,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,크림라떼22
모어쿠키,1083276741,쿠키310,치즈38,커피32,크림치즈31,맛363,만족도213,서비스49,목적43,메뉴24,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요,얼그레이16
벨라쿠키 연남,1583720553,쿠키93,크림치즈4,치즈4,얼그레이4,맛136,만족도66,목적11,서비스10,가격6,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,우유4
카페하이웨스트 연남점,774846660,스콘14,케이크9,얼그레이6,커피5,맛50,만족도37,분위기17,서비스13,가격5,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,토스트5
퀸넬브릴,1335831575,커피15,타르트4,라떼4,젤리3,만족도40,맛33,분위기11,메뉴4,가격4,특별한 메뉴가 있어요,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,밀크티2
코발트무드,1120900262,케이크19,커피6,치즈케이크2,치즈2,만족도33,맛30,분위기18,서비스6,메뉴3,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,아메리카노2
케익다방 연남점,1326436574,케이크89,커피16,얼그레이7,레터링케이크6,만족도133,맛67,서비스55,목적35,분위기27,친절해요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,특별한 날 가기 좋아요,도시락5
가스프,1101866071,치즈18,커피16,케이크14,치즈케이크14,맛56,만족도36,분위기21,메뉴14,서비스13,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,밀크티13
딥스,1436790902,몽블랑55,타르트37,커피28,휘낭시에17,맛156,만족도116,분위기66,서비스45,메뉴12,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,까눌레15
레끌라,20399944,피칸파이46,타르트6,커피6,초콜릿4,맛92,만족도67,목적43,서비스30,예약3,디저트가 맛있어요,친절해요,빵이 맛있어요,매장이 청결해요,특별한 메뉴가 있어요,케이크3
렌테,1655304233,마카롱47,까눌레36,휘낭시에14,마들렌4,맛67,만족도43,서비스42,목적9,가격2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요,초콜릿3
니어바이카페,1659406560,밀크티1,타로밀크티1,커피1,,밀크티1,타로밀크티1,커피1,맛2,메뉴1,,,,,,
카페 드 래빗,1101444848,커피76,와인18,라떼17,휘낭시에16,만족도218,맛190,분위기108,전망28,서비스24,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,뷰가 좋아요,티라미수7
보통공간,1633756880,휘낭시에65,까눌레44,타르트24,에그타르트22,맛125,만족도99,서비스41,목적8,위치6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요,구움과자21
카페 시즈닝즈,1456524257,커피48,요거트36,크로플31,그릭요거트16,맛127,만족도99,분위기44,서비스40,메뉴5,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요,커피가 맛있어요,치즈13
아사프,1648168847,커피43,라떼27,아이스크림10,아이스크림라떼10,맛87,만족도66,서비스34,분위기31,메뉴7,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,케이크6
카페 시월,1629572077,커피8,라떼6,에이드4,토스트2,맛21,만족도18,서비스4,분위기4,가격2,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,음료가 맛있어요,요거트2
해피니스인어데이,1459531604,쿠키42,커피19,케이크13,치즈8,맛93,만족도51,서비스33,분위기19,메뉴2,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,스콘5
ttotto cuisine,1903102636,커피38,갈레트21,핸드드립16,드립커피15,맛45,만족도42,서비스23,분위기21,메뉴10,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,아인슈페너4
아민 위샐러듀다이닝,1775967927,뱅쇼209,샐러드191,와인74,라떼61,"맛1,908","만족도1,467",서비스793,음식량408,분위기400,음식이 맛있어요,특별한 메뉴가 있어요,재료가 신선해요,친절해요,인테리어가 멋져요,딸기라떼56
올루 에스프레소바,1161916340,에스프레소71,커피67,콘파냐5,크로플4,맛123,만족도82,서비스47,분위기23,가격10,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요,아메리카노3
아이니드케이크 연남점,1827448906,케이크21,젤리20,에이드19,파르페3,만족도86,맛74,서비스31,분위기24,청결도2,음료가 맛있어요,친절해요,사진이 잘 나와요,특별한 메뉴가 있어요,디저트가 맛있어요,커피2
라프하우스,1099092209,커피59,라떼26,케이크20,에이드13,맛153,만족도119,분위기40,서비스36,목적8,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,아몬드크림라떼9
페브,1355434470,에끌레어77,커피19,에이드9,밀크티9,맛135,만족도82,분위기15,메뉴12,서비스10,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,매장이 청결해요,아메리카노5
해피벌스데이,1613056335,케이크2,라떼1,초코라떼1,치즈케이크1,케이크2,라떼1,초코라떼1,치즈케이크1,치즈1,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요,치즈1
연남동벚꽃집,1929468102,커피91,라떼22,옥수수21,에이드19,맛371,만족도311,분위기152,서비스62,메뉴17,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,수박주스16
데얼커피,1601413537,커피36,티라미수28,쿠키16,우유5,맛90,만족도73,분위기16,서비스8,메뉴5,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,케이크5
버우드,1198311937,파스타43,에그베네딕트43,커피26,토스트22,맛262,만족도196,분위기72,서비스53,음식량18,음식이 맛있어요,친절해요,재료가 신선해요,인테리어가 멋져요,특별한 메뉴가 있어요,프렌치토스트21
언페어피스,1005400817,커피15,애플파이4,브라우니4,아메리카노3,맛41,만족도30,메뉴6,분위기4,서비스3,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,타르트3
위치앤그레텔,1444446731,바나나푸딩9,푸딩9,소금빵8,커피8,맛25,만족도21,서비스15,분위기8,목적3,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,케이크6
채널오렌지,1578856927,커피9,케이크7,치즈4,치즈케이크4,만족도38,맛26,분위기14,서비스9,목적2,인테리어가 멋져요,디저트가 맛있어요,친절해요,커피가 맛있어요,사진이 잘 나와요,쿠키4
테이블 연남,1464754624,까눌레238,커피91,쿠키72,케이크67,맛457,만족도313,서비스145,분위기133,메뉴17,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,치즈66
봄브레드,1600748860,포카치아32,케이크24,브레드10,치즈7,맛70,만족도37,서비스30,메뉴4,음식량3,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,메뉴 구성이 알차요,바질3
연남동 심리카페,38462955,,,,,서비스90,예약7,편의・부대시설6,위치6,가격5,친절해요,대화하기 좋아요,집중하기 좋아요,컨셉이 독특해요,좌석이 편해요,
궤도 연남,1700345670,커피45,에스프레소8,라떼6,아이스크림2,맛59,만족도41,서비스19,분위기9,가격4,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,아메리카노2
루바브,1124107346,파스타25,와인10,케이크9,팬케이크9,맛78,만족도63,서비스23,분위기8,메뉴7,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,인테리어가 멋져요,커피7
로즈베리모어,1554926306,케이크16,도시락3,도시락케이크3,레터링케이크2,만족도22,맛18,목적4,서비스4,예약2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,사진이 잘 나와요,치즈2
세빠띠,1569055913,까눌레9,커피8,마들렌7,케이크3,맛34,만족도22,서비스4,목적3,분위기2,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요,친절해요,휘낭시에3
탕후루Hub,1592701591,,,,,맛20,만족도12,과일8,음식량3,전망2,디저트가 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,친절해요,뷰가 좋아요,
온플리크,1859611046,크로플26,커피16,아이스크림10,라떼10,맛57,만족도41,서비스25,분위기12,메뉴2,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,티라미수8
모닐이네하우스,1650174352,쿠키24,케이크16,소금빵12,모찌10,맛125,만족도93,서비스22,메뉴10,분위기4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,스콘9
필로앤소피아,1264736869,다식15,녹차5,양갱3,안심1,만족도57,서비스27,맛27,분위기8,예약3,차가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,매장이 청결해요,맥주1
어나더쉐어,1215536436,커피30,케이크8,쿠키8,치즈케이크7,맛61,만족도39,서비스22,분위기15,메뉴3,커피가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요,대화하기 좋아요,치즈6
메리고라운드 연남점,1157056771,케이크59,커피53,컵케이크31,라떼26,맛235,만족도209,서비스104,분위기70,메뉴9,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,매장이 청결해요,타르트14
프롬헤라스 연남,1604895392,커피63,드립백3,드립커피3,우유3,만족도62,맛55,서비스34,목적5,메뉴5,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,브루잉커피2
포스트 케이크,36350986,케이크360,치즈29,크림치즈28,레터링케이크19,만족도473,맛248,서비스237,목적148,분위기13,친절해요,디저트가 맛있어요,선물하기 좋아요,주문제작을 잘해줘요,특별한 메뉴가 있어요,주문제작케이크13
로제드미네,1903137270,와인29,파스타5,타르트4,로제떡볶이3,만족도41,맛34,서비스25,분위기10,메뉴2,음식이 맛있어요,인테리어가 멋져요,친절해요,술이 다양해요,특별한 메뉴가 있어요,떡볶이3
프리즘연남,1018238643,크로플40,와플40,와인21,커피21,만족도120,맛112,분위기46,서비스31,메뉴17,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,매장이 청결해요,아이스크림12
무유무유,1636448566,커피7,라떼1,바닐라빈라떼1,,커피7,라떼1,바닐라빈라떼1,만족도76,맛11,친절해요,매장이 청결해요,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,
지구샵 제로웨이스트홈,1106156821,쿠키1,케이크1,당근케이크1,브레드1,만족도85,서비스16,가격8,맛6,목적3,친절해요,매장이 청결해요,인테리어가 멋져요,특별한 메뉴가 있어요,빵이 맛있어요,에그타르트1
오테라부띠끄,1029465285,마카롱47,커피39,쿠키7,라떼4,맛94,만족도59,서비스45,분위기17,목적9,친절해요,매장이 청결해요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,초콜릿2
카페 세화,1464978463,,,,,서비스6,맛6,만족도5,편의・부대시설2,분위기1,음료가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,커피가 맛있어요,
얀 yawn,1503395641,크로플11,커피9,아이스크림6,밀크티5,맛48,만족도44,서비스21,분위기17,메뉴7,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요,흑임자4
카페 어쿠스틱,1384520629,커피19,라떼9,티라미수6,에이드6,만족도54,맛45,분위기21,서비스19,가격5,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요,하이볼5
판초,1530993164,토스트20,프렌치토스트15,샌드위치14,얼그레이13,맛49,만족도48,서비스29,분위기11,메뉴7,친절해요,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,매장이 청결해요,커피7
쥬리스 크림하우스,1840055599,푸딩4,커피1,과일1,,푸딩4,커피1,과일1,맛6,만족도6,,,,,,
로스팅마스터즈 연남점,1134232001,초콜릿17,커피17,라떼5,초코라떼2,맛44,만족도23,서비스15,가격5,메뉴3,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,매장이 청결해요,아메리카노2
오랑제뜨22,1695706659,타르트14,크로플9,커피9,라떼7,만족도63,맛55,서비스23,분위기14,가격6,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,음료가 맛있어요,과일4
유메이크쿠키,1865813471,쿠키20,소금빵9,커피5,치즈4,맛22,만족도18,서비스11,메뉴3,위치2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,커피가 맛있어요,케이크4
왓어버터,1060478054,잠봉뵈르95,커피65,샌드위치22,토스트20,맛243,만족도204,서비스62,분위기33,메뉴24,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,커피가 맛있어요,라떼19
아트클로버,1725457871,,,,,서비스11,맛8,분위기6,만족도6,즐길거리4,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,매장이 청결해요,
그루비,1905198544,커피15,라떼5,케이크3,에이드2,맛28,만족도24,분위기14,서비스7,목적1,커피가 맛있어요,음료가 맛있어요,친절해요,집중하기 좋아요,디저트가 맛있어요,자몽에이드2
르프레,1995454973,마들렌5,커피5,휘낭시에4,케이크3,맛24,만족도15,서비스6,목적2,분위기1,디저트가 맛있어요,친절해요,매장이 청결해요,커피가 맛있어요,인테리어가 멋져요,구움과자2
낫낫커피,1377936012,커피47,라떼13,에스프레소9,아메리카노5,맛82,만족도51,서비스43,분위기11,위치6,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,가성비가 좋아요,스콘4
키레네도시21C,1788613753,커피8,라떼3,딸기타르트2,타르트2,만족도28,맛23,분위기17,서비스10,위치3,친절해요,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,수제케이크2
히피리피,1447869730,케이크273,팬케이크246,커피94,젤라또76,맛644,만족도396,분위기150,서비스58,메뉴29,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,크림브륄레48
연남허니밀크,1737627220,휘낭시에10,마들렌6,커피3,치즈3,맛33,만족도17,서비스9,목적5,가격1,디저트가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,인테리어가 멋져요,레몬마들렌2
지구샵 그로서리,1711774623,샌드위치5,카레2,파스타2,요거트2,만족도28,맛20,메뉴4,목적3,서비스2,친절해요,매장이 청결해요,특별한 메뉴가 있어요,디저트가 맛있어요,인테리어가 멋져요,치즈2
프롬라떼 연남,1662756398,커피42,라떼20,크로플17,에이드13,맛89,만족도51,서비스18,분위기15,메뉴4,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요,치즈7
플루프커피,1884084183,케이크33,커피30,크로플19,스콘12,맛101,만족도76,서비스34,분위기20,메뉴7,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,치즈6
카페 롤다운,1167415138,커피77,라떼55,샌드위치32,스콘30,맛128,만족도126,분위기58,서비스41,메뉴3,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,크림라떼30
바람커피원두상점,1925392971,,,,,커피5,맛4,만족도3,핸드드립1,목적1,커피가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,인테리어가 멋져요,친절해요,
프롬딥그린,1199734266,휘낭시에41,마들렌29,타르트18,고르곤졸라14,맛69,만족도35,서비스19,메뉴4,분위기3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요,에그타르트12
카페테틈,1205351110,케이크14,밀크티13,커피13,라떼11,만족도103,맛58,메뉴16,서비스11,분위기10,인테리어가 멋져요,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,팬케이크6
카페테드,1658837486,커피23,라떼6,밀크티5,케이크5,만족도40,맛34,분위기11,메뉴7,서비스5,커피가 맛있어요,뷰가 좋아요,음료가 맛있어요,디저트가 맛있어요,친절해요,당근케이크2
바우 오마카세,1251739829,커피30,밀크티12,위스키5,더치커피5,맛27,만족도25,메뉴13,서비스10,분위기7,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,와인2
일련 로스터스,1489881877,커피22,타르트5,초코타르트5,아메리카노4,맛31,만족도25,서비스11,분위기4,메뉴4,커피가 맛있어요,친절해요,디저트가 맛있어요,뷰가 좋아요,음료가 맛있어요,에이드3
츄르릅,1623011798,스콘7,쿠키7,구겔호프3,까눌레3,맛44,만족도34,서비스13,목적3,메뉴1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,구움과자3
러프글로스,1113794499,커피21,아메리카노3,필터커피3,에이드2,만족도54,맛21,분위기18,서비스4,메뉴2,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,대화하기 좋아요,라떼2
슬리핑포레스트,508668545,커피23,라떼13,에이드5,케이크3,맛56,만족도49,서비스23,분위기10,목적3,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요,크림라떼2
썸모어델리,1669511347,토스트19,프렌치토스트17,크림치즈12,치즈12,맛93,만족도70,서비스20,분위기15,메뉴5,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,인테리어가 멋져요,라자냐10
윤태익 다르다 심리카페,1855034009,,,,,서비스159,예약16,가격10,혼잡도7,주차4,친절해요,대화하기 좋아요,집중하기 좋아요,매장이 청결해요,좌석이 편해요,
가나슈블랫,340164946,케이크5,치즈3,커피3,마들렌2,맛17,서비스7,만족도4,가격1,음식량1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,초코케이크2
리드미,1743930784,크로플26,커피23,마카롱5,밀크티4,맛96,만족도74,서비스38,분위기36,메뉴4,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요,아이스티4
햄니케이크,1569780844,케이크10,쿠키5,치즈케이크2,얼그레이1,만족도10,맛7,서비스3,목적2,분위기1,디저트가 맛있어요,선물하기 좋아요,친절해요,인테리어가 멋져요,주문제작을 잘해줘요,바스크치즈케이크1
시나모메,1965277728,,,,,서비스1,맛1,분위기1,,,,,,,,
로일즈,1224496928,라떼15,커피14,옥수수10,쿠키6,맛50,만족도36,분위기13,서비스9,메뉴4,커피가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,아이스크림5
하유,1188660894,커피23,휘낭시에9,라떼6,아메리카노4,맛39,만족도36,서비스14,분위기8,전망3,인테리어가 멋져요,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,아이스크림3
리틀프레스커피,37114222,커피14,에스프레소1,라떼1,연유라떼1,맛13,만족도7,분위기3,서비스2,청결도1,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요,드립백1
EEEK,1739327672,와인70,파스타57,커피46,토스트27,맛292,만족도281,분위기93,서비스87,음식량17,음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,재료가 신선해요,프렌치토스트21
공간아를,1853817558,커피33,와플9,치즈3,에스프레소2,서비스20,만족도16,맛13,분위기2,메뉴2,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,크림치즈2
스타티스,1168875518,푸딩4,요거트4,커피2,쿠키2,푸딩4,요거트4,커피2,쿠키2,그릭요거트2,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,커피가 맛있어요,그릭요거트2
롭다,1995205223,커피41,케이크19,라떼13,에이드7,만족도122,맛117,분위기70,서비스31,가격6,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,매장이 청결해요,팬케이크6
타래커피,1430305980,커피29,아메리카노8,케이크6,라떼5,맛42,만족도38,서비스12,가격9,청결도1,가성비가 좋아요,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,카라멜라떼2
크리멜트,1846091218.0,,,,,,,,,,,,,,,
앤스커피,1918881926,커피26,케이크6,치즈5,레몬파운드5,만족도61,맛55,분위기17,서비스10,메뉴4,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,대화하기 좋아요,치즈케이크4
로앤쿡드 연남,1133500880,커피55,케이크25,팬케이크23,샌드위치22,맛287,만족도198,분위기78,서비스50,메뉴29,음식이 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,재료가 신선해요,샐러드14
요거로밀,1714025191,요거트43,과일19,그릭요거트13,커피12,맛55,만족도37,서비스18,메뉴10,분위기7,친절해요,디저트가 맛있어요,매장이 청결해요,커피가 맛있어요,음료가 맛있어요,라떼4
라보아르,1675191335,휘낭시에49,밀푀유45,커피32,타르트25,맛181,만족도111,서비스39,분위기34,목적12,디저트가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,커피가 맛있어요,몽블랑15
