,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
와아,1299421546,아이스크림246,와인230,치즈66,요거트11,리코타치즈9,만족도263,맛209,분위기130,서비스85,목적20,음악이 좋아요,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
침묵을깨다,1053160252,칵테일22,와인11,푸딩6,커피5,위스키4,만족도124,분위기61,맛41,서비스32,메뉴4,음악이 좋아요,인테리어가 멋져요,친절해요,술이 다양해요,음식이 맛있어요
차일디쉬,1217287130,소금빵73,커피37,빙수19,케이크17,망고빙수14,맛141,만족도116,서비스27,분위기20,음식량8,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
자연도소금빵in 성수,1022429915,소금빵227,커피6,식빵3,크로와상2,바게트1,맛284,만족도147,대기시간50,서비스17,목적11,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
한정선,1353954221,찹쌀떡28,과일23,모찌11,딸기찹쌀떡7,앙버터5,맛60,만족도31,목적21,서비스9,대기시간6,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
치즈인더스트리 성수,1407454916,치즈51,케이크22,커피20,치즈케이크17,베이글13,맛72,만족도64,분위기15,메뉴8,서비스5,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
츄로101 성수점,1339900302,츄러스26,커피10,아이스크림3,튀김2,쉐이크2,맛36,만족도13,분위기8,목적2,위치2,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
모리노키세츠,1724311124,파르페9,커피8,푸딩7,라떼6,토스트6,만족도45,맛31,분위기13,서비스10,목적3,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요
하이라인,1194510469,라떼189,커피134,옥수수123,소금빵54,비스코티23,맛336,만족도269,분위기107,서비스87,메뉴31,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
오우드 성수1호점,1833313793,커피134,소금빵57,케이크26,요거트24,라떼21,맛345,만족도288,분위기84,서비스49,메뉴29,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요
베통 성수,365858525,커피327,소금빵174,라떼45,마들렌41,케이크38,맛868,만족도625,서비스289,분위기151,메뉴69,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
파머스카페,37471718,우유236,초콜릿213,커피193,초코라떼60,케이크51,맛753,만족도629,분위기332,서비스122,메뉴34,음료가 맛있어요,인테리어가 멋져요,커피가 맛있어요,대화하기 좋아요,친절해요
