id,category,count,keyword,카페이름,방문자리뷰,블로그리뷰,주소
1194851065,이색,481,다도,다도레 티룸,362,144,서울 서대문구 증가로 13-9 3층
1885163968,이색,10,북,초콜릿책방,62,46,서울 서대문구 연희로5길 46-11 초콜릿책방
1413655852,이색,14,메이드,그레인서울,47,59,서울 서대문구 연희로11가길 53 2층
1669885936,이색,8,전시,투썸플레이스 서대문연희점,68,47,"서울 서대문구 연희로 105 1, 2층"
1039944392,이색,16,사주,메가MGC커피 연희점,2085,14,"서울 서대문구 연희로 98 1,2층 메가커피"
1189230037,이색,183,애니,ANNIV,126,21,서울 서대문구 연희로11가길 8-8
1306927987,이색,6,전시,카페1997,1,1,서울 서대문구 연희로31길 24-12 1층
639777033,이색,8,전시,와이베를린,2,2,서울 서대문구 홍연길 67
1409319673,이색,4,북,파도바,1,1,서울 서대문구 연희로26길 32 1층 101호
1900352602,이색,7,게임,아이스프링카페,242,7,서울 서대문구 연희로32길 19
1883552123,이색,38,클래스,오몽듀,29,19,서울 서대문구 성산로18길 3 1층
1590785961,이색,3,클래스,무무인서울,5,4,서울 서대문구 연희맛로 17-16 2층 우측
1887301004,이색,6,전시,MUSEUM CAFE,0,0,서울 서대문구 연희로32길 51
1940804896,이색,26,메이드,다이어트랩 연희점,5,5,서울 서대문구 연희로10길 37
1883832743,이색,25,이색,943 킹스크로스CAFE,2412,1096,서울 마포구 양화로16길 24 B1층~4
1497090871,이색,64,칵테일,르바게트 메종,129,182,서울 서대문구 명물길 28 1층
1612839292,이색,63,칵테일,코티지블루,93,122,서울 마포구 동교로27길 61 2층 코티지블루
1751254128,이색,42,전시,훌리건 커피,515,2274,서울 마포구 와우산로29바길 11-5 1층
35453402,이색,3,이색,17도씨,806,971,서울 마포구 동교로29길 38 1층 17도씨
