카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1299421546,와아,340,18,서울 성동구 상원2길 1-10 3층
1053160252,침묵을깨다,188,205,서울 성동구 아차산로11길 26 2층
1217287130,차일디쉬,276,343,서울 성동구 연무장길 114 2층 차일디쉬
1022429915,자연도소금빵in 성수,799,829,서울 성동구 연무장길 56-1 1층
1353954221,한정선,143,148,서울 성동구 연무장길 54-1 1층
1407454916,치즈인더스트리 성수,157,143,서울 성동구 성수이로18길 37 1층
1339900302,츄로101 성수점,75,83,서울 성동구 성덕정길 70 1층
1724311124,모리노키세츠,55,47,서울 성동구 서울숲2길 11-16 2층
1194510469,하이라인,528,4874,서울 성동구 성덕정9길 10 2층 오른쪽문
1833313793,오우드 성수1호점,1534,4874,서울 성동구 연무장길 101-1
365858525,베통 성수,3566,4874,서울 성동구 연무장7가길 8
37471718,파머스카페,1581,643,경남 진주시 진주대로542번길 9-1 1층
1020816080,브레디포스트 성수,2048,2306,서울 성동구 상원1길 5 1층
1734893193,웜브라운,121,104,서울 성동구 연무장길 16-2 1층 WARM BRAUN
1468687611,니커버커베이글 성수지점,82,140,서울 성동구 뚝섬로13길 36 1층~3층
1771016332,본지르르 성수,19,75,"서울 성동구 광나루로4가길 13 B1, 1, 2층"
742676592,마를리,3454,1943,서울 성동구 연무장길 47 홍원빌딩
1517487358,아쿠아산타 성수카페,1280,575,서울 성동구 연무장길 81 1층 107호
1240372795,서울앵무새,5020,575,서울 성동구 서울숲9길 3 B1~2F
1455299135,크림라벨 서울숲 본점,1105,328,서울 성동구 서울숲2길 34 1층
1030871168,쎈느Scene,1984,328,서울 성동구 연무장5길 20 1F Scène
1425989301,카페 할아버지공장,4978,2259,서울 성동구 성수이로7가길 9
1128626529,스트로베리32 성수점,2104,410,서울 성동구 왕십리로10길 9-31 3층
1694234920,퍼먼트,1251,842,"서울 성동구 서울숲2길 37 1층 , 지하"
1523663774,성수 베이킹 스튜디오,2613,842,서울 성동구 서울숲2길 46 B1층
38561949,어니언 성수,4399,842,서울 성동구 아차산로9길 8 어니언
37717085,밀도 성수점,6472,842,서울 성동구 왕십리로 96
1935471901,LOOOP 루프 베이커리 카페,1251,842,서울 성동구 연무장5길 9-13 1층
1136906451,피넛버터바나나,1368,304,"서울 성동구 아차산로7길 15-8 1층,2층"
1251057335,비아트 성수,467,425,서울 성동구 아차산로5길 24-45 2층
343496704,체다앤올리,1455,425,서울 성동구 서울숲2길 32-14 갤러리아포레 상가 102동 113호
1394826865,실버리,142,24,서울 성동구 서울숲4길 26 2층
1409603517,묘사서울,593,24,서울 성동구 서울숲2길 2 2층
1966521856,라프레플루트,656,543,서울 성동구 서울숲2길 8-8 2층
1691420621,누데이크 성수,1594,1069,서울 성동구 성수이로7길 26 1층
1687687205,LOWIDE 서울숲,3122,1543,서울 성동구 서울숲2길 22-1
1038370038,맥파이앤타이거 성수티룸,272,309,서울 성동구 성수이로 97 5층
1723681649,브라우터,167,309,서울 성동구 왕십리로14길 28-21 지상 1~4층
1543901744,코끼리베이글 성수,3031,1633,서울 성동구 성수이로26길 17 (성수동2가) 1층
1829908685,러프러프,700,845,서울 성동구 연무장길 81 401호
1343777269,레인리포트 크루아상,456,586,"서울 성동구 성수이로16길 32 주3 1, 2층"
1423662826,뵈르뵈르,115,460,서울 성동구 연무장7길 8
1712521730,구욱희씨 서울숲 본점,1731,460,"서울 성동구 서울숲4길 12-22 1, 2층"
