카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1029619861,올드페리도넛 한남점,7107,3305,서울 용산구 한남대로27길 66 2층
1555088233,골든피스,56,102,서울 용산구 한남대로27길 25
1030067652,마일스톤 커피 한남점,1316,1150,서울 용산구 한남대로27가길 26 1층
11571524,올댓재즈,297,1150,서울 용산구 이태원로 216 2층
1101891783,데이로우 DAY ROW,573,549,서울 용산구 이태원로49길 14-3 1층
1057800745,맥심플랜트,5455,1855,서울 용산구 이태원로 250
12851539,패션5,9447,1855,서울 용산구 이태원로 272 SPC빌딩
1041846907,네로우 패스,637,1855,서울 용산구 이태원로42길 38-4
1230533926,콘하스 한남점,1169,1855,서울 용산구 이태원로55나길 22 콘하스 한남점
1399931838,엔다이브,582,607,서울 용산구 이태원로54길 52-2
37336909,그랜드하얏트서울 델리,1739,170,서울 용산구 소월로 322 그랜드하얏트서울 L층
1365054072,한남작업실,1001,868,서울 용산구 이태원로55나길 7 1층 한남작업실
31383349,아티장베이커스 한남,827,868,서울 용산구 한남대로18길 26 1층
1807223044,재인,529,434,서울 용산구 이태원로54길 48 2층
1100009233,한남베르그,1287,983,서울 용산구 이태원로54길 58-26 1층 한남베르그
1915794004,르솔레이,1693,983,서울 용산구 이태원로54길 28 2층 LE SOLEIL
37793452,원인어밀리언,791,983,서울 용산구 이태원로54길 31
36648938,mtl 한남,753,1042,서울 용산구 이태원로49길 24 1층 mtl
1179101547,보닐라츄러스 한남점,633,1372,서울 용산구 이태원로54가길 12 1층
1394859265,울프소셜클럽,378,38,서울 용산구 한남대로 158 1층 울프소셜클럽
1536033775,한남 상석,305,143,서울 용산구 대사관로24길 9 1층 상석
1959653413,오지힐,1081,1781,서울 용산구 대사관로11길 9-9 1층
1250468705,AVEK CHERI,295,284,"서울 용산구 이태원로 247 1,2층"
1222345286,타르틴 베이커리 한남점,849,6,서울 용산구 한남대로18길 22
37336922,그랜드하얏트서울 갤러리,1885,955,서울 용산구 소월로 322 그랜드하얏트서울 로비1층
1938586291,블루보틀 한남 카페,2286,955,서울 용산구 한남대로 91 지하1층
1226510600,프렌떼 한남,183,109,"서울 용산구 이태원로54길 66 지1층,1층2 층"
1621465172,웻커피 한남,425,582,서울 용산구 한남대로27가길 10 지층
1448128547,히트커피로스터스 한남,393,287,서울 용산구 이태원로 258 건물 뒤편 테라스 1층
1745179227,베베베 한남점,1010,821,서울 용산구 이태원로42길 46-12
1110133208,오아시스 한남점,1089,1564,서울 용산구 이태원로45길 30
1851308173,베이커리 오월의종,455,56,서울 영등포구 영중로 15 타임스퀘어 112-1호
1718170443,레종데트르 한남,236,195,서울 용산구 이태원로42길 62 2층 레종데트르 한남
35965160,산수화티하우스,105,110,서울 용산구 한남대로20길 21-14
1089811009,릴리언,162,156,서울 용산구 한남대로27가길 15 1층(한남동)
37357488,수르기,171,156,서울 용산구 이태원로42길 32 1층
1491093504,아키비스트 한남,282,192,서울 용산구 한남대로42길 41 1층 아키비스트 한남
1151512048,콘디토리 오븐,151,74,서울 용산구 한남대로20길 13 1층 102호
1429090005,허니비 서울,112,88,서울 용산구 대사관로5길 14-3 지하1층
1458057356,베베르카,29,19,서울 용산구 이태원로45길 8 4층
1802962451,크레이트커피,410,19,서울 용산구 독서당로 97 1층
1416109994,아우프글렛 한남,115,521,서울 용산구 이태원로54가길 20 1층
1121122923,한남라메종,509,292,서울 용산구 한남대로20길 51
1446588781,팥알로,117,69,서울 용산구 독서당로 65-3 언고오피스텔101-3호
1831692535,카라멜리에오,197,175,서울 용산구 이태원로54길 74 2층
727127299,로우커피,428,662,서울 용산구 이태원로54길 26 로우커피한남
1760264926,아이스크림 소사이어티,419,175,서울 용산구 한남대로20길 47
1174718905,북파크라운지,299,358,서울 용산구 이태원로 294 블루스퀘어 3층 북파크라운지
1812695987,아우어베이커리 한남나인원점,1808,358,서울 용산구 한남대로 91 B2층
1195389026,배스킨라빈스 하이브한남점,1235,358,서울 용산구 독서당로 93 (한남동) 1층
1477226533,테라로사 한남점,1129,396,서울 용산구 이태원로36길 15 카프리 빌딩
733920762,Summer Lane,1184,1756,서울 용산구 이태원로55가길 49 1층 summerlane
37769824,폴바셋 한남 커피스테이션점,2912,235,서울 용산구 한남대로 48
