,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
Poke all day 포케&샐러드 연희점,샐러드41,연어30,육회12,오리8,참치6,맛427,만족도276,음식량69,분위기58,서비스51,음식이 맛있어요,재료가 신선해요,건강한 맛이에요,매장이 청결해요,인테리어가 멋져요
스웨이커피스테이션,커피191,카푸치노29,라떼27,플랫화이트22,케이크17,만족도280,맛258,분위기168,서비스47,메뉴15,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요
프로토콜 연희점,커피122,라떼21,필터커피14,아메리카노8,드립커피5,만족도153,맛127,분위기47,서비스40,목적9,커피가 맛있어요,집중하기 좋아요,인테리어가 멋져요,친절해요,뷰가 좋아요
보연희,케이크140,파르페47,과일41,딸기케이크32,커피19,맛222,만족도123,서비스26,메뉴11,목적10,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요
푸어링아웃,커피74,케이크53,팬케이크47,얼그레이34,라떼15,맛113,만족도111,분위기67,서비스17,메뉴4,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
피터팬1978,소금빵268,커피32,치아바타28,식빵22,치즈21,맛728,만족도437,서비스101,가격42,메뉴37,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
매뉴팩트커피,커피163,플랫화이트70,라떼41,아메리카노10,롱블랙7,맛214,만족도131,서비스29,분위기21,음식량7,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
아워온즈,커피166,소금빵153,라떼15,아인슈페너15,치즈14,맛378,만족도368,분위기107,주차59,서비스48,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요
카페 마,아이스크림8,자허토르테7,커피5,초콜릿2,아메리카노1,맛29,만족도28,분위기3,서비스2,대기시간1,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요
앤트러사이트 연희점,커피115,라떼16,마들렌9,레몬마들렌6,플랫화이트5,만족도197,맛128,분위기77,서비스34,주차23,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,매장이 청결해요,주차하기 편해요
에브리띵베이글,베이글298,치즈123,크림치즈115,샌드위치49,연어24,맛346,만족도199,서비스70,가격21,메뉴5,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,인테리어가 멋져요
금옥당 연희점,양갱144,빙수60,팥빙수38,팥죽16,쌍화차16,맛219,만족도192,목적140,서비스34,분위기27,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
본지르르 연희,커피38,라떼7,치즈5,치즈케이크5,케이크4,만족도65,맛43,분위기25,서비스17,위치5,인테리어가 멋져요,커피가 맛있어요,친절해요,뷰가 좋아요,디저트가 맛있어요
더반 베를린 연희점,커피6,플랫화이트1,롱블랙1,브루잉커피1,카푸치노1,만족도7,맛7,메뉴2,전망1,분위기1,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,대화하기 좋아요,친절해요
폴앤폴리나 여의도점,치아바타40,버터프레첼23,바게트19,식빵15,스콘14,맛223,만족도117,서비스16,가격6,목적5,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
연희 에스프레소 바,에스프레소26,커피14,라떼2,쿠키1,푸딩1,맛42,만족도26,서비스7,분위기6,메뉴2,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
시간이머무는홍차가게,홍차177,스콘58,샌드위치37,얼그레이21,밀크티15,만족도410,맛310,서비스140,분위기128,메뉴31,차가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,대화하기 좋아요
연희동 국화빵,아이스크림3,얼그레이2,송편1,옥수수1,치즈1,아이스크림3,얼그레이2,송편1,옥수수1,치즈1,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
디폴트밸류,커피163,라떼79,크로플29,아메리카노19,우유11,맛229,만족도128,서비스55,분위기18,가격8,커피가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
해피앤피스커피클럽,커피10,케이크8,푸딩5,아메리카노5,초코케이크4,맛23,만족도21,서비스5,분위기2,메뉴1,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
비전스트롤 연희점,라떼3,커피3,필터커피1,휘낭시에1,,라떼3,커피3,필터커피1,휘낭시에1,맛4,,,,,
로덴드론 연희 1호점,커피109,라떼9,스콘8,아메리카노6,치즈5,만족도182,맛170,분위기45,서비스42,주차24,커피가 맛있어요,디저트가 맛있어요,친절해요,대화하기 좋아요,음료가 맛있어요
컬러드 빈,커피89,라떼28,플랫화이트14,우유9,필터커피9,맛90,만족도69,서비스34,분위기13,음식량4,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,사진이 잘 나와요
그로밋커피하우스,커피30,비스코티5,필터커피3,토스트3,라떼2,맛33,만족도29,서비스12,분위기8,위치2,커피가 맛있어요,친절해요,집중하기 좋아요,인테리어가 멋져요,디저트가 맛있어요
다도레 티룸,다식19,홍차13,녹차6,커피6,유자차4,만족도268,서비스112,맛104,분위기54,목적20,차가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,인테리어가 멋져요
카페 데스툴 연희점,커피64,라떼17,케이크11,당근케이크9,초코케이크6,맛80,만족도75,분위기28,서비스23,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,음악이 좋아요,매장이 청결해요
쿳사 연희,에그베네딕트91,커피76,치킨30,파스타22,샐러드19,맛944,만족도699,서비스339,분위기146,메뉴92,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,인테리어가 멋져요
연희양과점 연희점,까눌레83,휘낭시에32,커피16,스콘15,쿠키12,맛129,만족도72,목적24,서비스23,분위기4,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,빵이 맛있어요
혹스턴,커피72,라떼23,크림라떼8,브라우니8,치즈7,맛99,만족도87,분위기51,서비스18,메뉴15,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,친절해요,매장이 청결해요
뉘블랑쉬,커피25,시나몬롤6,크로와상6,아메리카노4,쿠키4,맛73,만족도43,서비스10,분위기9,가격4,빵이 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요
감과당,커피11,화과자8,약과6,식혜4,양갱3,맛44,만족도32,서비스15,분위기5,목적5,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
스타벅스 연희DT점,커피70,라떼23,샌드위치8,아메리카노7,돌체라떼4,만족도538,맛172,서비스125,주차39,분위기16,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
다크에디션커피,커피10,연유라떼1,라떼1,드립커피1,과일1,커피10,연유라떼1,라떼1,드립커피1,과일1,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,집중하기 좋아요
카페 니어리,커피4,케이크2,롤케이크1,에이드1,크림라떼1,커피4,케이크2,롤케이크1,에이드1,크림라떼1,,,,,
포싵,,,,,,맛5,만족도4,케이크3,서비스3,치즈1,,,,,
티아레나,스콘52,홍차29,밀크티20,샌드위치7,케이크7,만족도161,맛128,서비스82,분위기55,메뉴31,차가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
프레스도넛 연희,도넛92,커피29,바질16,크림브륄레12,치즈10,맛126,만족도72,분위기22,서비스16,가격6,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
해피헤비드링커,커피54,샌드위치31,라떼15,파스타12,치즈6,맛77,만족도76,서비스30,분위기30,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요
