,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
올드페리도넛 한남점,1029619861.0,"도넛1,134",크림브륄레179,커피122,우유77,티라미수47,"맛1,765",만족도859,서비스162,가격64,대기시간59,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
골든피스,1555088233.0,약과24,아이스크림1,흑임자1,아메리카노1,도넛1,만족도32,목적32,맛24,서비스5,분위기3,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
마일스톤 커피 한남점,1030067652.0,커피281,라떼95,티라미수43,비엔나커피40,카푸치노30,맛418,만족도221,서비스115,분위기46,대기시간15,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
올댓재즈,11571524.0,칵테일10,와인5,치즈2,감자튀김1,진토닉1,만족도82,분위기25,서비스14,맛9,가격6,라이브공연이 훌륭해요,술이 다양해요,인테리어가 멋져요,친절해요,음식이 맛있어요
데이로우 DAY ROW,1101891783.0,커피80,케이크28,라떼21,잠봉뵈르16,스콘13,맛148,만족도110,분위기44,서비스35,메뉴7,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
맥심플랜트,1057800745.0,커피667,라떼91,케이크50,아메리카노47,쿠키37,"만족도1,103",맛783,분위기258,서비스105,메뉴38,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,대화하기 좋아요,음료가 맛있어요
패션5,12851539.0,푸딩257,케이크218,커피144,바게트44,치즈37,"맛1,623","만족도1,284",가격240,서비스201,메뉴159,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,친절해요
네로우 패스,1041846907.0,커피86,크로플21,치즈17,스콘17,케이크11,맛183,만족도126,분위기50,서비스28,메뉴14,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
콘하스 한남점,1230533926.0,커피117,케이크11,치즈10,아메리카노10,몽블랑8,만족도250,맛199,분위기76,서비스66,전망14,인테리어가 멋져요,뷰가 좋아요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요
엔다이브,1399931838.0,커피83,스콘19,케이크11,푸딩9,바나나푸딩9,맛123,만족도97,분위기43,서비스25,메뉴9,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
그랜드하얏트서울 델리,37336909.0,케이크336,치즈52,치즈케이크32,초콜릿26,딸기케이크21,맛708,만족도591,서비스206,목적66,가격47,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
한남작업실,1365054072.0,커피89,라떼39,애플시나몬26,시나몬라떼22,아메리카노16,만족도221,맛186,분위기89,가격25,서비스16,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요
아티장베이커스 한남,31383349.0,크로와상39,식빵23,치아바타19,소금빵15,단팥빵12,맛201,만족도92,서비스26,가격5,목적4,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
재인,1807223044.0,마들렌51,케이크23,휘낭시에23,구움과자22,칵테일19,맛182,만족도127,서비스22,가격13,메뉴12,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
한남베르그,1100009233.0,크로플157,커피101,아이스크림52,애플파이22,호떡22,맛287,만족도189,서비스56,분위기46,메뉴11,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
르솔레이,1915794004.0,마들렌348,까눌레58,커피33,휘낭시에27,구움과자20,맛511,만족도297,서비스91,목적53,가격34,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
원인어밀리언,37793452.0,커피47,크로플14,케이크13,라떼9,티라미수6,만족도148,맛101,분위기69,서비스23,메뉴9,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
mtl 한남,36648938.0,커피132,라떼19,아메리카노9,케이크7,스콘7,맛158,만족도141,분위기40,서비스29,음식량10,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
보닐라츄러스 한남점,1179101547.0,츄러스217,커피39,초콜릿32,아메리카노9,라떼7,맛258,만족도130,서비스32,대기시간31,가격5,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,인테리어가 멋져요
울프소셜클럽,1394859265.0,커피26,밀크티11,케이크8,타르트6,애플파이5,만족도98,맛97,분위기38,메뉴14,서비스13,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
