,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
와아,아이스크림241,와인225,치즈65,요거트11,리코타치즈9,만족도255,맛203,분위기127,서비스80,목적20,음악이 좋아요,음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
침묵을깨다,칵테일22,와인11,푸딩6,위스키4,커피4,만족도123,분위기60,맛41,서비스32,메뉴4,음악이 좋아요,인테리어가 멋져요,친절해요,술이 다양해요,음식이 맛있어요
차일디쉬,소금빵69,커피36,빙수19,케이크17,망고빙수14,맛138,만족도114,서비스27,분위기20,음식량8,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
자연도소금빵in 성수,소금빵217,커피6,크로와상2,식빵2,잡채1,맛271,만족도139,대기시간48,서비스17,목적11,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
한정선,찹쌀떡28,과일22,모찌10,딸기찹쌀떡7,앙버터5,맛56,만족도30,목적20,서비스9,대기시간6,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
치즈인더스트리 성수,치즈48,케이크22,커피19,치즈케이크17,베이글13,맛70,만족도62,분위기15,메뉴7,서비스5,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
츄로101 성수점,츄러스25,커피9,아이스크림3,쉐이크2,치즈2,맛32,만족도12,분위기7,목적2,위치2,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
모리노키세츠,파르페8,커피8,푸딩7,라떼5,토스트5,만족도44,맛30,분위기13,서비스10,목적3,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요
하이라인,라떼189,커피134,옥수수123,소금빵54,비스코티23,맛336,만족도269,분위기107,서비스87,메뉴31,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
오우드 성수1호점,커피134,소금빵57,케이크26,요거트24,라떼21,맛345,만족도288,분위기84,서비스49,메뉴29,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요
베통 성수,커피326,소금빵168,라떼45,마들렌41,케이크38,맛861,만족도618,서비스285,분위기151,메뉴69,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
파머스카페,우유236,초콜릿212,커피190,초코라떼60,케이크51,맛748,만족도622,분위기328,서비스122,메뉴33,음료가 맛있어요,인테리어가 멋져요,커피가 맛있어요,대화하기 좋아요,친절해요
브레디포스트 성수,프레즐647,커피211,샌드위치98,치즈89,크림치즈67,"맛1,057",만족도797,분위기267,메뉴146,서비스143,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,친절해요
웜브라운,커피33,도넛18,라떼17,크림라떼7,아메리카노7,맛70,만족도43,서비스16,분위기14,목적2,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
니커버커베이글 성수점,베이글34,샌드위치15,치즈8,크림치즈7,커피5,맛35,만족도25,서비스9,분위기7,메뉴5,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
본지르르 성수,커피6,핫초코1,맥주1,라떼1,바닐라빈라떼1,만족도9,맛5,가격1,분위기1,서비스1,커피가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요,좌석이 편해요
마를리,케이크301,커피204,스콘110,밀크티58,라떼49,맛757,만족도538,분위기217,메뉴85,서비스56,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
