,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
로컬코드,파스타21,라자냐20,커피11,라떼8,오일파스타8,만족도83,맛78,분위기20,서비스17,음식량8,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,매장이 청결해요
브레디포스트 연남점,프레즐48,커피38,샌드위치7,밀크티5,치즈5,맛94,만족도89,분위기43,서비스15,메뉴11,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
팽페르뒤,토스트153,프렌치토스트97,커피71,커스터드17,아이스크림16,맛204,만족도129,서비스108,분위기38,메뉴3,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
코코로카라,푸딩680,케이크182,마들렌116,치즈94,바나나푸딩71,"맛1,074",만족도747,서비스154,메뉴77,분위기76,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
터틀힙,케이크554,레터링케이크81,커피57,치즈29,라떼24,만족도634,맛375,서비스146,분위기139,목적93,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요
유키모찌 연남점,모찌149,아이스크림112,우유72,젤라또57,녹차38,맛332,만족도189,서비스36,가격19,대기시간16,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,음식이 빨리 나와요
모리노코,커피10,과일6,케이크3,아이스티2,아메리카노2,만족도47,맛36,서비스15,분위기13,위치1,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
일쩜오플로어,마카롱60,과일29,케이크28,뚱카롱20,커피10,맛144,만족도85,서비스22,가격11,목적9,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
조앤도슨,토스트132,프렌치토스트93,밀크티60,치즈14,커피11,맛188,만족도111,메뉴62,서비스46,분위기17,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요
서울페이스트리 연남점,도넛65,커피50,아메리카노15,우유13,녹차12,맛354,만족도179,서비스39,분위기24,목적12,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
