,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
올드페리도넛 한남점,"도넛1,132",크림브륄레179,커피122,우유77,티라미수47,"맛1,762",만족도858,서비스162,가격64,대기시간59,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
골든피스,약과24,아이스크림1,흑임자1,아메리카노1,도넛1,만족도32,목적32,맛24,서비스5,분위기3,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
마일스톤 커피 한남점,커피278,라떼93,티라미수43,비엔나커피40,카푸치노30,맛416,만족도219,서비스114,분위기46,대기시간14,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
올댓재즈,칵테일10,와인5,치즈2,감자튀김1,진토닉1,만족도82,분위기25,서비스14,맛9,가격6,라이브공연이 훌륭해요,술이 다양해요,인테리어가 멋져요,친절해요,음식이 맛있어요
데이로우 DAY ROW,커피80,케이크27,라떼21,잠봉뵈르16,스콘13,맛147,만족도110,분위기43,서비스35,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
맥심플랜트,커피666,라떼91,케이크50,아메리카노47,쿠키37,"만족도1,102",맛783,분위기257,서비스105,메뉴38,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,대화하기 좋아요,음료가 맛있어요
패션5,푸딩257,케이크216,커피143,바게트44,샐러드37,"맛1,618","만족도1,282",가격240,서비스200,메뉴159,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,친절해요
네로우 패스,커피85,크로플21,치즈17,스콘17,케이크11,맛180,만족도125,분위기49,서비스28,메뉴14,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
콘하스 한남점,커피116,케이크11,치즈10,아메리카노10,몽블랑8,만족도250,맛199,분위기76,서비스66,전망14,인테리어가 멋져요,뷰가 좋아요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요
엔다이브,커피83,스콘19,케이크11,바나나푸딩8,푸딩8,맛123,만족도97,분위기43,서비스25,메뉴9,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
그랜드하얏트서울 델리,케이크336,치즈52,치즈케이크32,초콜릿26,딸기케이크21,맛708,만족도591,서비스206,목적66,가격47,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
한남작업실,커피89,라떼39,애플시나몬26,시나몬라떼22,아메리카노16,만족도220,맛185,분위기88,가격25,서비스16,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요
아티장베이커스 한남,크로와상39,식빵23,치아바타19,소금빵15,단팥빵12,맛201,만족도92,서비스26,가격5,목적4,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
재인,마들렌51,케이크23,휘낭시에23,구움과자22,칵테일19,맛182,만족도126,서비스22,가격13,메뉴12,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
한남베르그,크로플157,커피101,아이스크림52,애플파이22,호떡22,맛287,만족도189,서비스56,분위기46,메뉴11,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
르솔레이,마들렌348,까눌레58,커피33,휘낭시에27,구움과자20,맛511,만족도297,서비스91,목적53,가격34,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
원인어밀리언,커피47,크로플14,케이크13,라떼9,티라미수6,만족도148,맛101,분위기69,서비스23,메뉴9,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
mtl 한남,커피132,라떼19,아메리카노9,케이크7,스콘7,맛158,만족도141,분위기40,서비스29,음식량10,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
보닐라츄러스 한남점,츄러스217,커피39,초콜릿32,아메리카노9,라떼7,맛257,만족도129,서비스31,대기시간31,가격5,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,인테리어가 멋져요
울프소셜클럽,커피26,밀크티11,케이크8,타르트6,애플파이5,만족도98,맛97,분위기38,메뉴14,서비스13,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
한남 상석,딱새우회29,라면26,하이볼19,꽃게탕16,명란14,맛186,만족도152,분위기71,서비스56,메뉴13,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
오지힐,케이크71,커피66,라떼13,얼그레이11,레몬파운드9,맛257,만족도205,분위기78,서비스48,메뉴30,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
AVEK CHERI,소금빵58,커피39,쿠키11,샌드위치7,라떼4,맛79,만족도66,분위기14,서비스12,목적7,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
타르틴 베이커리 한남점,커피44,타르트39,샌드위치22,케이크14,브레드10,맛193,만족도132,분위기26,가격20,서비스14,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요
그랜드하얏트서울 갤러리,커피80,빙수42,망고빙수26,아이스크림22,과일22,만족도829,맛409,서비스290,분위기208,가격52,뷰가 좋아요,디저트가 맛있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
블루보틀 한남 카페,커피232,라떼115,아이스크림46,아메리카노21,우유11,맛384,만족도302,서비스160,분위기42,음식량16,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,인테리어가 멋져요
프렌떼 한남,커피29,바게트11,소금빵11,케이크5,치즈5,맛90,만족도56,분위기17,서비스15,메뉴4,빵이 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
웻커피 한남,커피65,도넛32,아메리카노6,라떼4,밀크티4,맛103,만족도76,분위기23,서비스16,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
히트커피로스터스 한남,커피90,푸딩48,라떼17,케이크14,딸기케이크13,맛135,만족도87,서비스40,분위기29,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
베베베 한남점,베이글321,치즈91,크림치즈71,커피45,샌드위치33,맛344,만족도230,서비스71,분위기57,가격14,빵이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요
오아시스 한남점,토스트43,에그베네딕트41,프렌치토스트32,커피32,샐러드27,맛326,만족도207,분위기56,서비스51,가격39,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,매장이 청결해요,친절해요
베이커리오월의종,바게트19,커피17,브레드7,치즈5,치아바타5,맛119,만족도66,가격15,서비스12,분위기4,빵이 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
레종데트르 한남,케이크20,커피19,오리15,까눌레5,타르트4,맛99,만족도79,서비스29,분위기8,목적5,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
산수화티하우스,마들렌1,다식1,녹차1,,,마들렌1,다식1,녹차1,만족도37,서비스12,차가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,대화하기 좋아요
릴리언,커피22,샌드위치14,파니니9,치아바타8,바게트5,맛68,만족도53,서비스24,분위기10,메뉴2,빵이 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요
수르기,커피11,아메리카노4,에끌레어3,카푸치노2,케이크2,맛42,만족도27,서비스10,분위기10,메뉴1,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,친절해요
아키비스트 한남,커피52,아인슈페너45,케이크10,휘낭시에7,레몬케이크7,맛100,만족도58,서비스15,분위기15,주차6,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
콘디토리 오븐,까눌레6,쿠키5,마들렌3,구움과자2,피칸파이2,만족도40,목적23,맛20,서비스8,가격5,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
허니비 서울,커피7,젤라또6,케이크5,몽블랑2,밀푀유2,맛45,만족도30,서비스7,가격4,청결도2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
베베르카,파스타5,프렌치토스트5,토스트5,에그베네딕트3,갈레트3,맛25,만족도24,서비스7,분위기7,메뉴3,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요,친절해요
크레이트커피,커피60,라떼16,플랫화이트8,브라우니4,바닐라라떼4,맛94,만족도79,분위기35,서비스12,메뉴7,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,친절해요
아우프글렛 한남,크로플27,커피11,아이스크림11,까눌레4,플랫화이트2,맛37,만족도24,분위기5,서비스4,청결도1,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요
한남라메종,커피42,타르트18,케이크18,레몬타르트10,얼그레이4,맛114,만족도95,분위기33,서비스25,메뉴8,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
팥알로,,,,,,,,,,,,,,,
카라멜리에오,파르페44,커피23,아이스크림14,푸딩13,타르트10,맛90,만족도74,서비스33,예약15,가격11,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요,사진이 잘 나와요
로우커피,커피45,크로플19,밀크티14,라떼10,케이크3,맛91,만족도48,메뉴19,분위기18,서비스13,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요,인테리어가 멋져요,디저트가 맛있어요
아이스크림 소사이어티,아이스크림49,젤라또18,얼그레이15,케이크13,쿠키5,맛116,만족도68,가격13,서비스12,청결도3,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
북파크라운지,커피28,라떼3,아인슈페너1,초코라떼1,아메리카노1,만족도231,분위기44,맛37,목적16,서비스14,집중하기 좋아요,좌석이 편해요,읽을만한 책이 많아요,인테리어가 멋져요,친절해요
