,name,cafe_type
1,로컬코드,브런치
2,브레디포스트 연남점,"카페,디저트"
3,팽페르뒤,"카페,디저트"
4,코코로카라,베이커리
5,터틀힙,"카페,디저트"
6,유키모찌 연남점,아이스크림
7,모리노코,"카페,디저트"
8,일쩜오플로어,베이커리
9,조앤도슨,"카페,디저트"
10,서울페이스트리 연남점,베이커리
11,오츠커피 연남,"카페,디저트"
12,마가렛 연남,"카페,디저트"
13,Are&am,"카페,디저트"
14,작당모의,"카페,디저트"
15,파이인더샵,"카페,디저트"
16,하우에버 연남,"카페,디저트"
17,스트로베리32 연남본점,베이커리
18,청수당공명,"카페,디저트"
19,치플레,베이커리
20,카페 레이어드 연남점,"카페,디저트"
21,코티지블루,브런치카페
24,바나나하루키,"카페,디저트"
25,랜디스도넛 연남점,도넛
26,펠른,카페
27,얼스어스,"카페,디저트"
28,브론시스,"카페,디저트"
29,카페드댕,"카페,디저트"
30,에브리데이해피벌스데이,"카페,디저트"
31,커피리브레 연남점,"카페,디저트"
32,잼잼,"카페,디저트"
33,오버딥,"카페,디저트"
34,티크닉,"카페,디저트"
35,표정,"카페,디저트"
36,브라운하우스 연남,"카페,디저트"
37,꽈페 연남본점,베이커리
38,카페클로이인패리스,"카페,디저트"
39,피오니 연남점,케이크전문
40,동명양과자점,베이커리
41,카페스콘,"카페,디저트"
42,모닝캄커피랩 연남점,"카페,디저트"
43,코코리코,베이커리
44,파롤앤랑그,"카페,디저트"
45,17도씨,초콜릿전문점
46,테일러커피 연남점,카페
47,버터앤쉘터 연남점,"카페,디저트"
48,히포,브런치카페
49,수크레크레페하우스,브런치카페
50,씨스루,"카페,디저트"
51,땡스오트 연남,"카페,디저트"
52,피프에스프레소바,"카페,디저트"
53,모투누이,"카페,디저트"
54,블루보틀 연남 카페,블루보틀
55,달콤다정,"카페,디저트"
56,리틀빅토리,베이커리
57,페블스,카페
58,MIDNIGHT PLEASURE,"카페,디저트"
59,SOP,"카페,디저트"
60,그림카페,"카페,디저트"
61,올웨이즈어거스트 제작소,"카페,디저트"
62,맥코이 연남,"카페,디저트"
63,오흐뒤구떼,베이커리
64,에스프레소 부티크,"카페,디저트"
65,차차커피코 연남점,"카페,디저트"
66,멜팅오브,카페
67,턴다운서비스,"카페,디저트"
68,코리코카페,"카페,디저트"
69,테누커피,"카페,디저트"
70,벌스가든,"카페,디저트"
71,메리트리,"카페,디저트"
72,lebonble 르봉블레,베이커리
73,라헬의부엌 연남점,"카페,디저트"
74,콩카페 연남점,카페
75,더파이샵,"카페,디저트"
76,목화씨라운지,"카페,디저트"
77,Deweet,"카페,디저트"
78,시계,"카페,디저트"
79,포포민즈낫띵,"카페,디저트"
80,펠른 연남,"카페,디저트"
81,피에트라,아이스크림
82,코이크,"카페,디저트"
83,소하염전 연남,"카페,디저트"
84,연트럴다방,"카페,디저트"
85,매일 카페,"카페,디저트"
86,위트앤척클,아이스크림
87,폴리스팬케이크,"카페,디저트"
88,씨스터브레드,베이커리
89,어니스트팬케이크,"카페,디저트"
90,사이드테이블,"카페,디저트"
91,미라지커피,"카페,디저트"
92,지구제과,베이커리
93,롱베케이션,"카페,디저트"
94,로프스페이스 연남,"카페,디저트"
95,발트 본점,카페
96,베란다컵케익,"카페,디저트"
97,누크녹,"카페,디저트"
98,하프베이글,"카페,디저트"
99,꿀넹쿠키 연남점,베이커리
100,아꽁뜨,"카페,디저트"
101,위아소울메이트,"카페,디저트"
102,코코시에나 티오마카세,차
103,플루밍,"카페,디저트"
104,오피스오브,"카페,디저트"
105,플렘므,"카페,디저트"
106,원모어프로포즈,"카페,디저트"
107,유니크혼,"카페,디저트"
108,무무대베이크,"카페,디저트"
109,네시사분,"카페,디저트"
110,스몰럭케이크,"카페,디저트"
111,흐림,"카페,디저트"
112,오랑지,카페
113,브래디스커피,"카페,디저트"
114,커피냅로스터스 연남동,카페
115,디 아더,"카페,디저트"
116,코메아벨렘,"카페,디저트"
117,스트뉴,"카페,디저트"
118,카페 만월회 그로서리마켓,"카페,디저트"
119,유니드마이요거트,"카페,디저트"
120,누아즈데테,"카페,디저트"
121,이오엠,"카페,디저트"
122,녹온,"카페,디저트"
123,마들젠,베이커리
124,앳더모먼트,"카페,디저트"
125,서당개2년로스터스,"카페,디저트"
126,작은새,브런치카페
127,믜요,"카페,디저트"
128,모리노팡,베이커리
129,레또르떼,"카페,디저트"
130,피스피스 연남점,"카페,디저트"
131,카멜커피 9호점,"카페,디저트"
132,대충유원지,"카페,디저트"
133,디그이지,"카페,디저트"
134,벌스데이투미,"카페,디저트"
135,SF bagels,베이커리
136,연남동그라미,"카페,디저트"
137,히비,베이커리
138,푸치케,"카페,디저트"
139,스윗헤르츠,"카페,디저트"
140,웨이즈커피 연남,"카페,디저트"
141,긱스 연남점,"카페,디저트"
142,88파운드,베이커리
143,슈타데,"카페,디저트"
144,휘퍼스,"카페,디저트"
145,커비스컵케이크,"카페,디저트"
146,알버트파크,"카페,디저트"
147,연남살롱,카페
148,게슈탈트 커피,"카페,디저트"
149,아트스뉴욕 연남점,"카페,디저트"
150,Cafe105,"카페,디저트"
151,멜티드,아이스크림
152,스윗미업,케이크전문
153,라온디,초콜릿전문점
154,그림제작소 연남점,테마카페
155,솔트 포레스트,"카페,디저트"
156,온오프연남,"카페,디저트"
157,카페밀노,"카페,디저트"
158,Osds 연남,"카페,디저트"
159,김보람 초콜릿 연남점,초콜릿전문점
160,더세컨드하우스,"카페,디저트"
161,모어쿠키,"카페,디저트"
162,벨라쿠키 연남,"카페,디저트"
163,카페하이웨스트 연남점,"카페,디저트"
164,퀸넬브릴,"카페,디저트"
165,코발트무드,"카페,디저트"
166,케익다방 연남점,"카페,디저트"
167,가스프,"카페,디저트"
168,딥스,"카페,디저트"
169,레끌라,베이커리
170,렌테,"카페,디저트"
171,니어바이카페,"카페,디저트"
172,카페 드 래빗,"카페,디저트"
173,보통공간,"카페,디저트"
174,카페 시즈닝즈,"카페,디저트"
175,아사프,"카페,디저트"
176,카페 시월,카페
177,해피니스인어데이,"카페,디저트"
178,도 도넛,도넛
179,ttotto cuisine,"카페,디저트"
180,환대,"카페,디저트"
181,아민 위샐러듀다이닝,브런치
182,올루 에스프레소바,"카페,디저트"
183,아이니드케이크 연남점,"카페,디저트"
184,라프하우스,"카페,디저트"
185,페브,"카페,디저트"
186,해피벌스데이,"카페,디저트"
187,연남동벚꽃집,"카페,디저트"
188,루트커피,"카페,디저트"
189,데얼커피,"카페,디저트"
190,버우드,브런치
191,언페어피스,"카페,디저트"
192,위치앤그레텔,"카페,디저트"
193,채널오렌지,"카페,디저트"
194,테이블 연남,"카페,디저트"
195,봄브레드,베이커리
196,연남동 심리카페,테마카페
197,궤도 연남,"카페,디저트"
198,루바브,브런치
199,로즈베리모어,"카페,디저트"
200,세빠띠,"카페,디저트"
201,탕후루Hub,"카페,디저트"
202,온플리크,카페
203,모닐이네하우스,베이커리
204,필로앤소피아,차
