,name,cafe_type
2,어글리베이커리,베이커리
3,더바이글,베이커리
4,소설원 망원,"카페,디저트"
5,투떰즈업,베이커리
6,비캔드,브런치카페
7,슈크렌느,"카페,디저트"
8,베이크 샵 하벳,"카페,디저트"
9,라뚜셩트,"카페,디저트"
10,비전스트롤 망원점,"카페,디저트"
11,구황작물,"카페,디저트"
12,브릭베이글,베이글
13,해브어,"카페,디저트"
14,아브르드팡,"카페,디저트"
15,올웨이즈어거스트로스터스,카페
16,딜리커피 망원,"카페,디저트"
17,후와후와,베이커리
18,밀로밀,베이커리
19,티노마드,"카페,디저트"
20,베이코닉 브런치바,브런치
21,커피가게동경,카페
24,크림데이 글루텐프리 케이크샵,케이크전문
25,포트레이트커피바,"카페,디저트"
26,레스피레,베이커리
27,망원 지튼,"카페,디저트"
28,커넥츠커피 망원,"카페,디저트"
29,당도,아이스크림
30,모을,카페
31,이이알티 망원,"카페,디저트"
32,라바즈,베이커리
33,콘웰,"카페,디저트"
34,두두리두팡,베이커리
35,딥블루레이크,"카페,디저트"
36,보통공원,"카페,디저트"
37,광합성카페,"카페,디저트"
38,모아새,"카페,디저트"
39,이스트우드 망원점,"카페,디저트"
40,카펫,"카페,디저트"
41,락떼스피릿,카페
42,필리커피,"카페,디저트"
43,구스커피앤바,"카페,디저트"
44,미완성식탁,"카페,디저트"
45,프레쎄,"카페,디저트"
46,블랑제리코팡,베이커리
47,카페뎀셀브즈 망원동 소아과점,카페
48,흐쎄트,베이커리
49,루아르 망원,"카페,디저트"
50,도쿄빙수 망원본점,빙수
51,HHSS HOUSE,"카페,디저트"
52,단고당,"카페,디저트"
53,바이어리셔,베이커리
54,스타벅스 망원한강공원점,카페
55,키오스크,"카페,디저트"
56,푸쉬오프 커피앤바,"카페,디저트"
57,엣모스피어,"카페,디저트"
58,히카,"카페,디저트"
59,카스테라연구소,베이커리
60,무계획,"카페,디저트"
61,페이브먼트,"카페,디저트"
62,차차,"카페,디저트"
63,로우머,"카페,디저트"
64,온리디스베이커리,베이커리
65,프렌치 망원,"카페,디저트"
66,마떼아,"카페,디저트"
67,파사도 망원,"카페,디저트"
68,비고미,"카페,디저트"
69,웅파이 망원점,베이커리
70,키토빵앗간,베이커리
71,콜트 커피바,카페
72,망원동티라미수 본점,"카페,디저트"
73,위켄드케이크,케이크전문
74,커차그,"카페,디저트"
75,평형,"카페,디저트"
76,에스트 에스트 에스트,"카페,디저트"
77,9ram,"카페,디저트"
78,카페하모니,"카페,디저트"
79,카페엠,"카페,디저트"
80,버터크림팩토리 bucfac,"카페,디저트"
81,포스트 노 빌즈,"카페,디저트"
82,버터베이커리,베이커리
83,무슈부부 커피스탠드,카페
84,망디,베이커리
85,케이크 작업실 : 스튜디오 시루모락,케이크전문
86,코코부코,"카페,디저트"
87,카카오다다,초콜릿전문점
88,페트롤플레이스,"카페,디저트"
89,하이놀리,베이커리
90,비바쌀롱,"카페,디저트"
91,망원수제고로케,베이커리
92,79파운야드 망원본점,베이커리
93,까페 빈틈 M,"카페,디저트"
94,한강 에스프레소,"카페,디저트"
95,꼬르소산도,"카페,디저트"
96,카페 고잉홈,"카페,디저트"
97,컵스커피,"카페,디저트"
98,도래노트,"카페,디저트"
99,레이지독 케이크,케이크전문
100,픽셀,"카페,디저트"
101,WHH 와하하,"카페,디저트"
102,범골커피,카페
103,모구모구과자점 인 망원,베이커리
104,도피,브런치
105,고미푸딩 망원점,"카페,디저트"
106,구뜨몽떼,"카페,디저트"
107,언더지,카페
108,빵쌤 마포구청점,베이커리
109,리벌티 망원,"카페,디저트"
110,셀렉티드 커피앤스윗츠,"카페,디저트"
111,레귤러서비스,"카페,디저트"
112,헤비타트테이블,카페
113,리오네,"카페,디저트"
114,카인들리,"카페,디저트"
115,소소 베이크하우스,베이커리
116,고카페인클럽,"카페,디저트"
117,요거멜로우,"카페,디저트"
118,이노몬트,"카페,디저트"
119,피엠오,"카페,디저트"
120,퍼스널커피,"카페,디저트"
121,시모어,"카페,디저트"
122,고체,"카페,디저트"
123,주인공,"카페,디저트"
124,꽈페 망원점,베이커리
125,엔티프,"카페,디저트"
126,나우올네버,"카페,디저트"
127,M1CT,"카페,디저트"
128,돌담마루커피바,"카페,디저트"
129,merrily,"카페,디저트"
130,르뻬떼,"카페,디저트"
131,트래피 커피,"카페,디저트"
132,피피커피,카페
133,오늘의 위로,"카페,디저트"
134,프라이빗커피하우스,"카페,디저트"
135,카페씨멘트,"카페,디저트"
