id,category,count,keyword,카페이름,방문자리뷰,블로그리뷰,주소
37654332,커피,1057,원두,딥블루레이크,1275,262,서울 마포구 포은로6길 11
1243135733,커피,1168,라떼,락떼스피릿,1253,432,서울 마포구 희우정로20길 65
1746012756,커피,5,라떼,프레쎄,544,303,서울 마포구 동교로 69
1513540731,커피,3,라떼,바이어리셔,257,178,서울 마포구 망원로1길 22 망원 한강공원에서 도보 5분 거리에 있습니다.
1973168151,커피,259,라떼,꼬르소산도,248,325,서울 마포구 월드컵로 157
1197147360,커피,371,라떼,WHH 와하하,364,301,서울 마포구 희우정로16길 39 1층
13509098,커피,150,드립,피피커피,97,109,서울 마포구 동교로 23 1층
37687817,커피,55,라떼,카페씨멘트,507,505,서울 마포구 희우정로20길 72 1층 카페 씨멘트
1517529478,커피,76,라떼,로토드,192,87,서울 마포구 포은로 111 1층 로토드
38530833,커피,338,원두,루틸,293,59,서울 마포구 포은로 136 1층 루틸
156284180,커피,27,아메리카노,허니빙스,435,43,서울 마포구 방울내로7길 18
1136734194,커피,19,라떼,페이브커피 망원시장점,279,8,서울 마포구 망원로8길 10 1층
1570284075,커피,44,드립,복래로커피,107,18,서울 마포구 월드컵로23길 18 102호
20668031,커피,3,라떼,카페느림,173,31,서울 마포구 방울내로 42
1744046450,커피,5,라떼,메가MGC커피 마포시민공원점,2919,40,서울 마포구 망원로 19 1층 메가커피
1512650391,커피,3,라떼,메가MGC커피 망원망리단길점,1358,19,서울 마포구 동교로 39
1256872004,커피,18,에스프레소,bucfac,4,4,서울 마포구 망원로11길 41
