id,category,count,keyword,카페이름,방문자리뷰,블로그리뷰,주소
1754355439,인스타그래머블,370,사진,콘웰,381,435,서울 마포구 월드컵로15길 40 2층 콘웰커피
37659034,인스타그래머블,148,사진,광합성카페,1597,331,서울 마포구 월드컵로19길 8
1219761996,인스타그래머블,570,사진,로우머,381,96,서울 마포구 월드컵로13길 55-26
1876676836,인스타그래머블,39,사진,마떼아,353,232,서울 마포구 월드컵로19길 36 2층
1502148422,인스타그래머블,57,사진,고카페인클럽,326,419,서울 마포구 망원로2길 69 2층
1874405324,인스타그래머블,39,사진,comfy,120,105,서울 마포구 동교로 71-1 1층
1706675619,인스타그래머블,95,사진,604seoul,301,388,서울 마포구 동교로 49 정하빌딩 1층
1084559006,인스타그래머블,38,사진,브라운 프론트 도어,109,45,서울 마포구 포은로 94 그레이스빌딩 1층 101호
36406719,인스타그래머블,118,사진,스몰커피,133,184,서울 마포구 포은로 64
1800475386,인스타그래머블,95,사진,트랙26,96,103,서울 마포구 방울내로9안길 71 1층 트랙26
37555747,인스타그래머블,12,핫,굿디드,179,32,서울 마포구 망원로11길 29
1923641657,인스타그래머블,9,사진,카페인중독 망원점,192,31,서울 마포구 방울내로 79 103호
1656566604,인스타그래머블,6,새롭다,설빙 망원점,181,21,서울 마포구 월드컵로 87 2층 204호
1490419398,인스타그래머블,8,사진,요기요거,155,23,서울 마포구 희우정로20길 66 1층 오른쪽가게
1222238094,인스타그래머블,87,사진,리멘틱,425,87,서울 마포구 동교로 43 2층
1560358848,인스타그래머블,22,사진,Alive214,328,115,서울 마포구 월드컵로13길 34 1층
1949139263,인스타그래머블,14,사진,룬라이즈,64,10,서울 마포구 희우정로16길 42 1층 102호
1696913052,인스타그래머블,15,사진,리어커피,48,13,서울 마포구 포은로 146 1층
1066546554,인스타그래머블,26,사진,카페이라,49,35,서울 마포구 월드컵로25길 51 영훈빌딩
1117355682,인스타그래머블,6,사진,달콤왕가탕후루 망원역점,85,12,서울 마포구 월드컵로13길 27
1972958644,인스타그래머블,12,사진,Cafe Miei,7,6,서울 마포구 월드컵로19길 42
