,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
Poke all day 포케&샐러드 연희점,1233281842.0,샐러드41,연어30,육회12,오리8,참치6,맛427,만족도277,음식량69,분위기58,서비스52,음식이 맛있어요,재료가 신선해요,건강한 맛이에요,매장이 청결해요,인테리어가 멋져요
스웨이커피스테이션,1826959498.0,커피192,카푸치노29,라떼27,플랫화이트22,케이크17,만족도281,맛259,분위기169,서비스47,메뉴15,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요
프로토콜 연희점,1032580297.0,커피122,라떼21,필터커피14,아메리카노8,드립커피5,만족도153,맛127,분위기47,서비스40,목적9,커피가 맛있어요,집중하기 좋아요,인테리어가 멋져요,친절해요,뷰가 좋아요
보연희,1677855640.0,케이크140,파르페47,과일41,딸기케이크32,커피19,맛222,만족도123,서비스26,메뉴11,목적10,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요
푸어링아웃,36543730.0,커피74,케이크53,팬케이크47,얼그레이34,라떼15,맛113,만족도111,분위기67,서비스17,메뉴4,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
피터팬1978,13413865.0,소금빵268,커피32,치아바타28,식빵22,치즈21,맛730,만족도437,서비스101,가격42,메뉴37,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
매뉴팩트커피,32982001.0,커피163,플랫화이트70,라떼41,아메리카노10,롱블랙7,맛214,만족도131,서비스29,분위기21,음식량7,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
앤트러사이트 연희점,1485444554.0,커피115,라떼16,마들렌9,레몬마들렌6,플랫화이트5,만족도195,맛128,분위기77,서비스34,주차23,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,매장이 청결해요,주차하기 편해요
에브리띵베이글,1588980015.0,베이글298,치즈123,크림치즈115,샌드위치49,연어24,맛346,만족도199,서비스70,가격21,메뉴5,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,인테리어가 멋져요
금옥당 연희점,1214851981.0,양갱144,빙수60,팥빙수38,쌍화차17,팥죽16,맛219,만족도193,목적141,서비스35,분위기27,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
본지르르 연희,1161125870.0,커피38,라떼7,치즈5,치즈케이크5,케이크4,만족도65,맛43,분위기25,서비스17,위치5,인테리어가 멋져요,커피가 맛있어요,친절해요,뷰가 좋아요,디저트가 맛있어요
