id,category,count,keyword,카페이름,방문자리뷰,블로그리뷰,주소
1194510469,커피,921,라떼,하이라인,528,4874,서울 성동구 성덕정9길 10 2층 오른쪽문
1517487358,커피,204,라떼,아쿠아산타 성수카페,1280,575,서울 성동구 연무장길 81 1층 107호
343496704,커피,289,라떼,체다앤올리,1455,425,서울 성동구 서울숲2길 32-14 갤러리아포레 상가 102동 113호
1725895520,커피,649,라떼,블루보틀 성수 카페,17626,3876,서울 성동구 아차산로 7 케이티링커스
523890342,커피,25,라떼,센터커피 서울숲점,2395,311,서울 성동구 서울숲2길 28-11
1613470297,커피,394,원두,브루잉 세레모니,405,1096,서울 성동구 연무장5가길 22-1 1층
1046248956,커피,46,에스프레소,구테로이테 성수센트럴키친,283,159,서울 성동구 연무장13길 9 1층
1645816805,커피,72,라떼,이월로스터스 성수점,562,222,서울 성동구 서울숲2길 46 2층 이월로스터스 성수점
1223354536,커피,485,라떼,BNHR,734,791,서울 성동구 연무장5길 9-16 1층
1275922607,커피,76,원두,에이치커피로스터스,106,107,서울 성동구 성수일로11길 10 1층
1470307602,커피,9,아메리카노,시나본 서울숲점,1599,150,서울 성동구 서울숲2길 32-14 갤러리아포레 1층
1906998225,커피,49,라떼,업사이드커피 뚝섬점,494,55,서울 성동구 왕십리로14길 19-1 1층 업사이드커피
1215237779,커피,169,에스프레소,Pauline CoffeeBar,292,228,서울 성동구 연무장3길 13 폴린커피바
1678617330,커피,123,라떼,엘레멘츠,223,136,서울 성동구 성수이로14길 15
33704135,커피,212,원두,피어커피,378,11,서울 성동구 광나루로4가길 24 1층 피어커피
1863706992,커피,164,원두,어페어커피,159,174,서울 성동구 성수이로6길 11 1층 어페어 커피
1530501406,커피,10,아메리카노,소울레터커피컴퍼니,350,305,서울 성동구 상원12길 20-14 1층 소울레터커피
1078138614,커피,141,에스프레소,투데이즈이너프,216,107,서울 성동구 서울숲2길 44-13 지하1층
1320654683,커피,176,라떼,마르코웤스,216,81,서울 성동구 아차산로11길 26
