,name,cafe_type
0,사이드테이블,"카페,디저트"
1,잼잼,"카페,디저트"
2,브레디포스트 연남,"카페,디저트"
3,팽페르뒤,"카페,디저트"
4,코코로카라,베이커리
5,터틀힙,"카페,디저트"
6,유키모찌 연남점,아이스크림
7,조앤도슨,"카페,디저트"
8,오츠커피 연남,"카페,디저트"
9,작당모의,"카페,디저트"
10,씨스루,"카페,디저트"
11,오흐뒤구떼,베이커리
12,수크레크레페하우스,브런치카페
13,그림카페,"카페,디저트"
14,페블스,카페
15,멜팅오브,카페
16,턴다운서비스,"카페,디저트"
17,리틀빅토리,베이커리
18,SOP,"카페,디저트"
19,벌스가든,"카페,디저트"
20,코코시에나 티오마카세,차
21,스몰럭케이크,"카페,디저트"
22,위아소울메이트,"카페,디저트"
23,누아즈데테,"카페,디저트"
24,유니드마이요거트,"카페,디저트"
25,녹온,"카페,디저트"
26,시계,"카페,디저트"
27,피스피스 연남점,"카페,디저트"
28,차차커피코 연남점,"카페,디저트"
29,커피냅로스터스 연남동,카페
30,휘퍼스,"카페,디저트"
31,벨라쿠키 연남,"카페,디저트"
32,그림제작소 연남점,테마카페
33,코발트무드,"카페,디저트"
34,환대,"카페,디저트"
35,디그이지,"카페,디저트"
36,연남살롱,카페
37,딥스,"카페,디저트"
38,카페하이웨스트 연남점,"카페,디저트"
39,렌테,"카페,디저트"
40,지구샵 제로웨이스트홈,베이커리
41,어나더쉐어,"카페,디저트"
42,탕후루Hub,"카페,디저트"
43,데저트,"카페,디저트"
44,카페 어쿠스틱,"카페,디저트"
45,부빵,베이커리
46,도 도넛,도넛
47,메리고라운드 연남점,"카페,디저트"
48,카페몽슈슈 연남점,베이커리
49,포스트 케이크,케이크전문
50,유메이크쿠키,"카페,디저트"
51,컴포넌트 커피,"카페,디저트"
52,바람커피원두상점,"카페,디저트"
53,멜티스트,"카페,디저트"
54,홍대츄러스,"카페,디저트"
55,백종명화이트커피,"카페,디저트"
56,마르셀,"카페,디저트"
57,프롬라떼 연남,"카페,디저트"
58,연나방,"카페,디저트"
59,플루프커피,"카페,디저트"
