,name,cafe_type
2,올드페리도넛 한남점,도넛
3,골든피스,"카페,디저트"
4,마일스톤 커피 한남점,카페
5,올댓재즈,라이브카페
6,데이로우 DAY ROW,"카페,디저트"
7,맥심플랜트,카페
8,패션5,베이커리
9,네로우 패스,"카페,디저트"
10,콘하스 한남점,"카페,디저트"
11,엔다이브,"카페,디저트"
12,그랜드하얏트서울 델리,베이커리
13,한남작업실,"카페,디저트"
14,아티장베이커스 한남,베이커리
15,재인,"카페,디저트"
16,한남베르그,"카페,디저트"
17,르솔레이,"카페,디저트"
18,원인어밀리언,"카페,디저트"
19,mtl 한남,"카페,디저트"
20,보닐라츄러스 한남점,"카페,디저트"
21,울프소셜클럽,"카페,디저트"
22,한남 상석,요리주점
24,오지힐,"카페,디저트"
25,AVEK CHERI,"카페,디저트"
26,타르틴 베이커리 한남점,베이커리
27,그랜드하얏트서울 갤러리,"카페,디저트"
28,블루보틀 한남 카페,블루보틀
29,프렌떼 한남,베이커리
30,웻커피 한남,"카페,디저트"
31,히트커피로스터스 한남,"카페,디저트"
32,104,"카페,디저트"
33,베베베 한남점,베이글
34,오아시스 한남점,브런치
35,베이커리 오월의종,베이커리
36,레종데트르 한남,"카페,디저트"
37,산수화티하우스,차
38,릴리언,베이커리
39,수르기,"카페,디저트"
40,아키비스트 한남,"카페,디저트"
41,콘디토리 오븐,"카페,디저트"
42,허니비 서울,"카페,디저트"
43,베베르카,브런치
44,크레이트커피,카페
45,아우프글렛 한남,"카페,디저트"
46,한남라메종,"카페,디저트"
47,팥알로,베이커리
48,카라멜리에오,베이커리
49,로우커피,"카페,디저트"
50,아이스크림 소사이어티,아이스크림
51,북파크라운지,북카페
52,아우어베이커리 한남나인원점,베이커리
53,배스킨라빈스 하이브한남점,아이스크림
54,테라로사 한남점,카페
55,Summer Lane,브런치
56,폴바셋 한남 커피스테이션점,카페
57,뚜띠한남,"카페,디저트"
58,맥코이 한남,"카페,디저트"
59,에이프릴커피,"카페,디저트"
60,오라라,"카페,디저트"
61,베지위켄드,브런치카페
62,컨큐어 한남,"카페,디저트"
63,유성카페,카페
64,챔프커피 제1작업실,커피번
65,케르반베이커리&카페,베이커리
66,% 아라비카 매거진 B 한남점,"카페,디저트"
67,라페름,브런치
68,르몽생미셸르카페,"카페,디저트"
69,스타벅스 한남동R점,카페
70,윤 티하우스,"카페,디저트"
71,스타벅스 한강진역R점,카페
72,33apartment,"카페,디저트"
73,라이비 케이크아웃,케이크전문
74,모모,"카페,디저트"
75,아틀리에폰드 한남,베이커리
76,살리르,아이스크림
77,카페 베르나르도,"카페,디저트"
78,포겟미낫스위츠,"카페,디저트"
79,오베뉴한남,"카페,디저트"
80,어텐디 한남,"카페,디저트"
81,LTP 한남,브런치
82,스타벅스 순천향입구점,카페
83,노티드 한남PVCS,카페
84,패션5 테라스,"카페,디저트"
85,클럽하우스서울,"카페,디저트"
86,로얄멜팅클럽,"카페,디저트"
87,바다까까,"카페,디저트"
88,아스티에드빌라트카페,카페
89,오설록티하우스 한남점,차
90,겟썸커피 Hannam,카페
91,앤더슨씨 나인원점,브런치
92,생텀,카페
93,팬케익 오리지널 스토리,브런치
94,파티세리 폰드 한남,"카페,디저트"
95,파리바게뜨 한남점,베이커리
96,피어커피 바,"카페,디저트"
97,세르클 한남 본점,브런치
98,라운지 한남,"카페,디저트"
99,차요,"카페,디저트"
100,Take c,"카페,디저트"
101,벨루스,"카페,디저트"
102,보마켓 남산점,"카페,디저트"
103,배스킨라빈스 한남점,아이스크림
104,브라운즈,갤러리카페
105,테이크 블랭크,"카페,디저트"
106,유포리아커피로스터스,카페
107,콜렉티보 한남점,카페
108,리아 한남,"카페,디저트"
109,아우프글렛,"카페,디저트"
110,데드비트클럽,"카페,디저트"
111,모어딥,"카페,디저트"
112,루트에브리데이 한남점,브런치
113,인덱스카라멜 한남,"카페,디저트"
114,espresso core,카페
115,목단가옥,갤러리카페
116,요커 한남순천향점,"카페,디저트"
117,리메이크 캐러멜,"카페,디저트"
118,히어로도넛 한남점,도넛
119,Talk About Donut,베이커리
120,MSMR,"카페,디저트"
121,커피빈 이태원제일기획옆점,카페
122,이디야커피 순천향병원점,카페
123,카페필로스,카페
124,곤트란쉐리에 한남점,베이커리
125,카페 르상스 사운즈한남점,브런치
126,아이엠랑데자뷰 한남비자림점,"화장품,향수"
127,메가MGC커피 한남오거리점,카페
128,카페드블루 블루스퀘어점,"카페,디저트"
129,고든즈,베이커리
130,뮵,"카페,디저트"
131,페이퍼블랑&카페,"카페,디저트"
132,비원에프,카페
133,아카이뷰,"카페,디저트"
134,챔프커피리움,카페
135,브랜드한남,"카페,디저트"
136,이코이,"카페,디저트"
137,포멜로빈 현대카드 뮤직라이브러리점,"카페,디저트"
138,스플렌디드 케이크,베이커리
139,올모스트블루,카페
140,컨템포러리1,갤러리카페
141,달콤커피 한남동점,카페
142,솔티밥,"카페,디저트"
143,스튜디오 콘크리트,"갤러리,화랑"
144,Cafe Artue,갤러리카페
145,슬링스톤,"카페,디저트"
146,카페부호,"카페,디저트"
147,덕덕덕,베이커리
148,이디야커피 IBK고객센터점,카페
149,97PAGE,"카페,디저트"
150,실로,"카페,디저트"
151,아메리칸트레일러 몽르베,"과일,주스전문점"
152,온더램프,"카페,디저트"
153,매머드익스프레스 한남순천향병원점,카페
154,쌀람베이커리,베이커리
155,카페 yy,"카페,디저트"
156,컴포즈커피 한남순천향점,카페
157,쿠카페,"카페,디저트"
158,백미당 한남점,카페
159,케익갤러리,케이크전문
160,요벨커피,카페
161,백억커피 이태원점,"카페,디저트"
162,더카페 한남점,카페
163,나인원카페,테마카페
164,오늘은 열었을거야,카페
165,컵스 바이 웰페리온,카페
166,더벤티 한남오거리점,카페
167,백미당 고메이494한남점,카페
168,써니브레드,"카페,디저트"
169,아망뜨 한남,브런치
170,cafe12pm,"카페,디저트"
171,차차이테,"카페,디저트"
172,레빗홀,"카페,디저트"
173,레알빈,카페
174,코뮨,"카페,디저트"
175,커피더빅,"카페,디저트"
176,아르시오네,"카페,디저트"
177,Treats,케이크전문
178,더룸,"카페,디저트"
179,앤더슨,카페
180,알어바웃트,카페
181,블루포트 순천향대병원점,"카페,디저트"
182,키투오 커피 한남점,"카페,디저트"
183,허피,"카페,디저트"
184,카페마마스 한남나인원점,양식
185,학산 한남지점,카페
